date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Hannover_Hbf.in,Hannover_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-04-23,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,6.0,5.0,5.0,5.0,4.0,7.0,2.0,4.0,5.0,5.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0,5.0,4.0,3.0,-1.0
2024-04-22,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,-1.0
2024-04-20,0.0,4.0,3.0,10.0,9.0,8.0,11.0,50.0,49.0,49.0,47.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-18,-1.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,12.0,12.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,15.0,2.0,0.0,0.0,2.0,2.0,4.0,-1.0
2024-04-16,-1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,5.0,4.0,7.0,3.0,4.0,4.0,3.0,2.0,6.0,23.0,15.0,16.0,16.0,15.0,15.0,13.0,13.0,1.0,6.0,0.0,0.0,11.0,8.0,10.0,-1.0
2024-04-15,-1.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,6.0,10.0,10.0,8.0,7.0,8.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-14,-1.0,2.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,122.0,119.0,118.0,-1.0
2024-04-13,-1.0,1.0,6.0,4.0,3.0,2.0,1.0,2.0,6.0,6.0,3.0,3.0,8.0,7.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,3.0,2.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,-1.0
