date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Hagen_Hbf.in,Hagen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-19,-1.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,4.0,6.0,12.0,12.0,7.0,7.0,11.0,5.0,0.0,0.0,0.0,0.0,16.0,19.0,20.0,20.0,23.0,24.0,25.0,25.0,26.0,-1.0
2024-05-18,-1.0,1.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,5.0,5.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,3.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-05-17,-1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,7.0,6.0,7.0,23.0,23.0,45.0,41.0,0.0,0.0,0.0,0.0,38.0,40.0,36.0,35.0,33.0,34.0,31.0,32.0,29.0,-1.0
2024-05-16,-1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,12.0,17.0,18.0,12.0,14.0,16.0,11.0,0.0,0.0,0.0,0.0,12.0,14.0,12.0,10.0,8.0,8.0,5.0,6.0,3.0,-1.0
2024-05-15,-1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,10.0,12.0,12.0,7.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-14,-1.0,3.0,0.0,1.0,7.0,6.0,5.0,6.0,4.0,9.0,10.0,11.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,10.0,14.0,14.0,13.0,9.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,5.0,6.0,3.0,5.0,2.0,-1.0
2024-05-12,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,6.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-05-11,-1.0,2.0,0.0,1.0,2.0,2.0,1.0,12.0,29.0,32.0,33.0,34.0,32.0,32.0,40.0,36.0,0.0,0.0,0.0,0.0,35.0,35.0,32.0,31.0,32.0,32.0,30.0,31.0,30.0,-1.0
2024-05-10,-1.0,2.0,0.0,1.0,0.0,1.0,5.0,7.0,8.0,15.0,14.0,15.0,11.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,-1.0
