date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,0.0,0.0,0.0,6.0,6.0,5.0,6.0,7.0,14.0,53.0,53.0,52.0,51.0,50.0,49.0,42.0,43.0,43.0,42.0,47.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,7.0,8.0,9.0,11.0,7.0,7.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,8.0,7.0,6.0,7.0,5.0,6.0,8.0,7.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,0.0,0.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,15.0,14.0,13.0,12.0,8.0,13.0,17.0,18.0,15.0,17.0,13.0,12.0,22.0,21.0,24.0,23.0,25.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,9.0,9.0,10.0,9.0,9.0,22.0,22.0,22.0,18.0,18.0,14.0,13.0,8.0,7.0,8.0,8.0,8.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,10.0,9.0,11.0,7.0,6.0,9.0,10.0,4.0,4.0,1.0,1.0,1.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,6.0,15.0,26.0,26.0,27.0,26.0,23.0,24.0,17.0,18.0,14.0,15.0,13.0,-1.0
2024-05-22,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,10.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0
