date,Gera_Hbf.in,Gera_Hbf.out,Hermsdorf-Klosterlausnitz.in,Hermsdorf-Klosterlausnitz.out,Stadtroda.in,Stadtroda.out,Jena-Göschwitz.in,Jena-Göschwitz.out,Jena_West.in,Jena_West.out,Weimar.in,Weimar.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Gotha.in,Gotha.out,Eisenach.in,Eisenach.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out
2024-05-09,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,11.0,11.0,11.0,10.0,-1.0
2024-05-08,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,3.0,3.0,2.0,1.0,-1.0
2024-05-06,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,8.0,8.0,8.0,8.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,10.0,11.0,11.0,12.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,6.0,-1.0
2024-05-01,-1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,-1.0
2024-04-30,-1.0,1.0,1.0,2.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,6.0,12.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,24.0,24.0,25.0,23.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,-1.0
2024-04-25,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,6.0,5.0,1.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,6.0,5.0,5.0,10.0,-1.0
2024-04-22,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,8.0,7.0,13.0,18.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,12.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,2.0,1.0,10.0,-1.0
2024-04-17,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,22.0,26.0,-1.0
2024-04-16,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,-1.0
2024-04-14,-1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,1.0,1.0,3.0,-1.0
