date,Hamburg_Hbf.in,Hamburg_Hbf.out,Uelzen.in,Uelzen.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Celle.in,Celle.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-07,-1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,-1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,1.0,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,-1.0,1.0,4.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,3.0,3.0,5.0,4.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,9.0,9.0,6.0,8.0,7.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,15.0,10.0,24.0,15.0,14.0,14.0,13.0,7.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,-1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,-1.0,15.0,14.0,15.0,15.0,15.0,6.0,6.0,15.0,15.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,18.0,15.0,1.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,5.0,8.0,4.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
2024-04-29,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,16.0,17.0,17.0,19.0,20.0,21.0,22.0,22.0,20.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,-1.0,10.0,14.0,13.0,9.0,8.0,4.0,3.0,10.0,10.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,0.0,0.0,26.0,26.0,12.0,16.0,15.0,13.0,15.0,14.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,70.0,67.0,69.0,71.0,74.0,74.0,74.0,61.0,63.0,-1.0,-1.0,69.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,-1.0,1.0,12.0,12.0,1.0,1.0,5.0,14.0,15.0,15.0,15.0,14.0,7.0,8.0,0.0,0.0,13.0,13.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,7.0,7.0,4.0,10.0,9.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,-1.0,6.0,9.0,8.0,6.0,5.0,8.0,7.0,9.0,8.0,4.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,13.0,14.0,13.0,10.0,16.0,16.0,18.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,2.0,9.0,9.0,2.0,4.0,6.0,5.0,9.0,10.0,2.0,0.0,3.0,4.0,0.0,0.0,15.0,15.0,40.0,41.0,42.0,39.0,47.0,45.0,46.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
