source,target,maxDelay,minDelay,stdDev,connections,avgDelay
Berlin Gesundbrunnen,Berlin Ostbahnhof,132.0,-43.0,30.70978,8.0,0.23799
Berlin Ostbahnhof,Berlin Hbf,319.0,-42.0,57.40926,50.0,-0.57027
Berlin Hbf,Berlin-Spandau,46.0,-102.0,44.39885,71.0,-0.87389
Berlin-Spandau,Hannover Hbf,111.0,-38.0,33.89017,11.0,0.05061
Hannover Hbf,Herford,59.0,-15.0,15.60126,5.0,1.23574
Herford,Bielefeld Hbf,120.0,-27.0,19.486,14.0,0.79055
Bielefeld Hbf,Hagen Hbf,123.0,-191.0,47.74484,8.0,3.73904
Hagen Hbf,Wuppertal Hbf,114.0,-29.0,28.729,33.0,2.58526
Wuppertal Hbf,Gütersloh Hbf,191.0,-53.0,32.86894,2.0,6.33628
Gütersloh Hbf,Gelsenkirchen Hbf,4.0,-192.0,27.84823,1.0,-8.50943
Gelsenkirchen Hbf,Hamm (Westf) Hbf,201.0,-6.0,28.87636,1.0,10.33962
Hamm (Westf) Hbf,Dortmund Hbf,145.0,-191.0,63.6661,35.0,-0.12285
Dortmund Hbf,Bochum Hbf,46.0,-103.0,34.79468,35.0,-0.7133
Bochum Hbf,Essen Hbf,120.0,-6.0,29.45231,36.0,0.41898
Essen Hbf,Mülheim (Ruhr) Hbf,2.0,-56.0,7.3087,3.0,-0.34104
Mülheim (Ruhr) Hbf,Duisburg Hbf,53.0,-2.0,8.53477,4.0,0.85837
Duisburg Hbf,Düsseldorf Hbf,50.0,-67.0,25.28801,49.0,1.54581
Düsseldorf Hbf,Solingen Hbf,128.0,-213.0,101.9232,24.0,-2.87099
Solingen Hbf,Köln Hbf,212.0,-42.0,81.65119,21.0,10.25356
Köln Hbf,Düsseldorf Hbf,127.0,-99.0,64.587,39.0,0.37517
Düsseldorf Hbf,Wuppertal Hbf,212.0,-76.0,71.89646,12.0,10.94678
Wuppertal Hbf,Hagen Hbf,33.0,-4.0,19.0869,35.0,1.44266
Hagen Hbf,Hamm (Westf) Hbf,65.0,-55.0,28.16988,9.0,-1.24506
Hamm (Westf) Hbf,Bielefeld Hbf,109.0,-136.0,55.11682,25.0,2.49515
Bielefeld Hbf,Hannover Hbf,168.0,-110.0,76.52972,23.0,2.44604
Hannover Hbf,Wolfsburg Hbf,131.0,-134.0,61.91558,27.0,-0.99669
Wolfsburg Hbf,Berlin-Spandau,106.0,-78.0,55.5289,28.0,-1.30448
Berlin-Spandau,Berlin Hbf,105.0,-109.0,73.07053,79.0,0.78699
Berlin Hbf,Berlin Ostbahnhof,161.0,-117.0,77.09844,50.0,0.82726
Karlsruhe Hbf,Pforzheim Hbf,11.0,-29.0,6.85679,6.0,-0.5
Pforzheim Hbf,Mühlacker,6.0,-2.0,1.94803,7.0,-0.16425
Mühlacker,Vaihingen (Enz),20.0,-2.0,5.9037,5.0,0.94218
Vaihingen (Enz),Stuttgart Hbf,103.0,-18.0,19.2552,11.0,0.68323
Stuttgart Hbf,Schwäbisch Gmünd,94.0,-53.0,17.33132,6.0,1.39548
Schwäbisch Gmünd,Aalen Hbf,62.0,-5.0,9.18044,8.0,-0.45032
Aalen Hbf,Ellwangen,23.0,-4.0,6.65297,8.0,0.20085
Ellwangen,Crailsheim,52.0,-5.0,11.92597,7.0,1.36232
Crailsheim,Ansbach,16.0,-3.0,4.8355,8.0,0.05708
