source,target,sumDelay,numTrains,numDelayedTrains,avgDelay,punctuality
Hagen Hbf,Düsseldorf Flughafen,54.0,55,16,0.9818,0.2909
Berlin Gesundbrunnen,Neustrelitz Hbf,-566.0,51,45,-11.098,0.8824
Neustrelitz Hbf,Ribnitz-Damgarten West,0.0,52,0,0.0,0.0
Ribnitz-Damgarten West,Bernau (b Berlin),557.0,45,44,12.3778,0.9778
Uelzen,Hannover Hbf,-40.0,102,100,-0.3922,0.9804
Aachen Hbf,Düsseldorf Hbf,-52.0,50,31,-1.04,0.62
Düsseldorf Hbf,Essen Hbf,132.0,53,30,2.4906,0.566
Essen Hbf,Köln Hbf,-156.0,64,31,-2.4375,0.4844
Köln Hbf,Berlin Ostbahnhof,-80.0,53,27,-1.5094,0.5094
Berlin Ostbahnhof,Solingen Hbf,54.0,52,6,1.0385,0.1154
Hannover Hbf,Berlin Gesundbrunnen,-1761.0,203,184,-8.6749,0.9064
Essen Hbf,Bremen Hbf,-499.0,57,34,-8.7544,0.5965
Bremen Hbf,Münster (Westf) Hbf,675.0,153,142,4.4118,0.9281
Berlin-Spandau,Berlin Südkreuz,224.0,46,22,4.8696,0.4783
Berlin Südkreuz,Wolfsburg Hbf,-210.0,51,31,-4.1176,0.6078
Hildesheim Hbf,Leipzig Hbf,-16.0,54,6,-0.2963,0.1111
Leipzig Hbf,Göttingen,11.0,54,4,0.2037,0.0741
Kassel-Wilhelmshöhe,Halle (Saale) Hbf,150.0,52,25,2.8846,0.4808
Niebüll,Langenhorn (Schlesw),243.0,148,38,1.6419,0.2568
Langenhorn (Schlesw),Bredstedt,-2.0,176,62,-0.0114,0.3523
Erlangen,Erfurt Hbf,-14.0,69,57,-0.2029,0.8261
Bergen auf Rügen,Berlin Hbf,0.0,0,0,,
Berlin Hbf,Stralsund Hbf,-111.0,52,51,-2.1346,0.9808
Hamburg Hbf,Berlin Südkreuz,103.0,48,28,2.1458,0.5833
Mainz Hbf,Worms Hbf,24.0,94,40,0.2553,0.4255
Worms Hbf,Mannheim Hbf,79.0,91,42,0.8681,0.4615
Ulm Hbf,Günzburg,-93.0,159,120,-0.5849,0.7547
Günzburg,Augsburg Hbf,173.0,203,122,0.8522,0.601
Riesa,Döbeln Hbf,6.0,57,2,0.1053,0.0351
Döbeln Hbf,Dresden-Neustadt,687.0,57,53,12.0526,0.9298
Dresden Hbf,Freiberg (Sachs),-10.0,106,96,-0.0943,0.9057
Freiberg (Sachs),Chemnitz Hbf,-46.0,105,94,-0.4381,0.8952
Bremen Hbf,Oldenburg (Oldb) Hbf,0.0,21,18,0.0,0.8571
Vaihingen (Enz),Heidelberg Hbf,130.0,184,132,0.7065,0.7174
Heidelberg Hbf,Heppenheim (Bergstr),117.0,43,28,2.7209,0.6512
Heppenheim (Bergstr),Bensheim,11.0,43,26,0.2558,0.6047
Hamburg Hbf,Lüneburg,118.0,70,61,1.6857,0.8714
Berlin-Spandau,Berlin Zoologischer Garten,-1711.0,161,122,-10.6273,0.7578
Münster (Westf) Hbf,Hamm (Westf) Hbf,190.0,93,84,2.043,0.9032
Münster (Westf) Hbf,Wanne-Eickel Hbf,-68.0,53,50,-1.283,0.9434
Wanne-Eickel Hbf,Köln Messe/Deutz,-397.0,53,30,-7.4906,0.566
Köln Messe/Deutz,Gelsenkirchen Hbf,357.0,53,30,6.7358,0.566
Hamburg Hbf,Bremen Hbf,118.0,99,94,1.1919,0.9495
Dortmund Hbf,Solingen Hbf,28.0,50,6,0.56,0.12
Eisenach,Berlin Südkreuz,-156.0,58,36,-2.6897,0.6207
Berlin Hbf,Bad Hersfeld,138.0,57,26,2.4211,0.4561
Darmstadt Hbf,Karlsruhe Hbf,-30.0,39,6,-0.7692,0.1538
Karlsruhe Hbf,Bensheim,76.0,43,5,1.7674,0.1163
Bensheim,Mannheim Hbf,317.0,122,58,2.5984,0.4754
Gäufelden,München-Pasing,-97.0,44,21,-2.2045,0.4773
München-Pasing,Bondorf (b Herrenberg),127.0,39,19,3.2564,0.4872
Bondorf (b Herrenberg),München Hbf,-148.0,44,24,-3.3636,0.5455
München Hbf,Horb,158.0,43,23,3.6744,0.5349
Oberndorf (Neckar),Rottweil,10.0,55,26,0.1818,0.4727
Rottweil,Spaichingen,22.0,56,34,0.3929,0.6071
Angermünde,Berlin Hbf,0.0,6,0,0.0,0.0
Berlin Südkreuz,Eberswalde Hbf,-617.0,46,45,-13.413,0.9783
Berlin Gesundbrunnen,Halle (Saale) Hbf,563.0,46,43,12.2391,0.9348
Erfurt Hbf,Coburg,31.0,64,63,0.4844,0.9844
Coburg,Nürnberg Hbf,170.0,46,46,3.6957,1.0
Augsburg Hbf,München Hbf,-34.0,45,43,-0.7556,0.9556
Engen,Sulz (Neckar),0.0,38,0,0.0,0.0
Sulz (Neckar),Tuttlingen,4.0,46,2,0.087,0.0435
Tuttlingen,Herrenberg,-4.0,38,2,-0.1053,0.0526
Herrenberg,Spaichingen,0.0,29,0,0.0,0.0
Oberndorf (Neckar),Horb,39.0,46,11,0.8478,0.2391
Horb,Böblingen,0.0,9,0,0.0,0.0
Göttingen,Esslingen (Neckar),-46.0,55,6,-0.8364,0.1091
Esslingen (Neckar),Kassel-Wilhelmshöhe,60.0,55,6,1.0909,0.1091
Fulda,Friedberg (Hess),95.0,54,4,1.7593,0.0741
Friedberg (Hess),Marburg (Lahn),-85.0,54,3,-1.5741,0.0556
Marburg (Lahn),Hanau Hbf,662.0,48,40,13.7917,0.8333
Karlsruhe Hbf,Wolfsburg Hbf,-74.0,16,3,-4.625,0.1875
Wolfsburg Hbf,Mannheim Hbf,80.0,15,4,5.3333,0.2667
Mannheim Hbf,Kassel-Wilhelmshöhe,-160.0,16,4,-10.0,0.25
Kassel-Wilhelmshöhe,Berlin Ostbahnhof,-31.0,16,1,-1.9375,0.0625
Berlin Ostbahnhof,Göttingen,26.0,15,1,1.7333,0.0667
Hamburg-Harburg,Bamberg,116.0,16,4,7.25,0.25
Bamberg,Fulda,-53.0,16,5,-3.3125,0.3125
Fulda,München Hbf,-78.0,11,2,-7.0909,0.1818
München Hbf,Frankfurt (Main) Hbf,115.0,14,7,8.2143,0.5
Düsseldorf Hbf,Halle (Saale) Hbf,35.0,15,4,2.3333,0.2667
Halle (Saale) Hbf,Duisburg Hbf,-28.0,15,4,-1.8667,0.2667
Duisburg Hbf,Münster (Westf) Hbf,-8.0,16,1,-0.5,0.0625
Emden Hbf,Nürnberg Hbf,5.0,12,3,0.4167,0.25
Heide (Holst),Dortmund Hbf,-494.0,50,41,-9.88,0.82
Dortmund Hbf,Itzehoe,540.0,43,36,12.5581,0.8372
Itzehoe,Hamburg Hbf,85.0,75,72,1.1333,0.96
Gotha,Frankfurt (Main) Hbf,0.0,2,0,0.0,0.0
Wiesbaden Hbf,Limburg Süd,-29.0,99,32,-0.2929,0.3232
Siegburg/Bonn,Köln/Bonn Flughafen,-203.0,145,109,-1.4,0.7517
Köln/Bonn Flughafen,Köln Hbf,147.0,42,31,3.5,0.7381
Bremen Hbf,Oberhausen Hbf,-395.0,42,40,-9.4048,0.9524
Oberhausen Hbf,Münster (Westf) Hbf,289.0,42,39,6.881,0.9286
Solingen Hbf,Düsseldorf Flughafen,73.0,50,42,1.46,0.84
Friedberg (Hess),Bad Nauheim,313.0,87,62,3.5977,0.7126
Hannover Hbf,Köln Hbf,1585.0,113,109,14.0265,0.9646
Halle (Saale) Hbf,Berlin Gesundbrunnen,-175.0,35,34,-5.0,0.9714
Berlin Gesundbrunnen,Berlin Südkreuz,0.0,1,0,0.0,0.0
Frankfurt am Main Flughafen Fernbahnhof,Nürnberg Hbf,731.0,87,87,8.4023,1.0
Hamburg Hbf,Essen Hbf,86.0,21,18,4.0952,0.8571
Bredstedt,Husum,41.0,51,10,0.8039,0.1961
Göttingen,Lüneburg,-519.0,54,44,-9.6111,0.8148
Celle,Hamburg Hbf,1001.0,58,53,17.2586,0.9138
Hamburg-Harburg,Uelzen,14.0,55,7,0.2545,0.1273
Köln/Bonn Flughafen,Köln Messe/Deutz,211.0,152,124,1.3882,0.8158
Duisburg Hbf,Hagen Hbf,-940.0,104,92,-9.0385,0.8846
Hagen Hbf,Essen Hbf,595.0,55,43,10.8182,0.7818
Koblenz Hbf,Remagen,-122.0,54,10,-2.2593,0.1852
Bochum Hbf,Köln Messe/Deutz,103.0,54,8,1.9074,0.1481
Solingen Hbf,Dortmund Hbf,905.0,151,98,5.9934,0.649
Hamburg Dammtor,Frankfurt am Main Flughafen Fernbahnhof,-81.0,53,10,-1.5283,0.1887
Frankfurt am Main Flughafen Fernbahnhof,Hamburg-Altona,80.0,54,8,1.4815,0.1481
Hamburg-Altona,Frankfurt (Main) Hbf,0.0,54,0,0.0,0.0
Ribnitz-Damgarten West,Greifswald,48.0,53,15,0.9057,0.283
Prenzlau,Neustrelitz Hbf,-183.0,53,49,-3.4528,0.9245
Eberswalde Hbf,Bernau (b Berlin),-11.0,53,41,-0.2075,0.7736
Bernau (b Berlin),Berlin Gesundbrunnen,1.0,30,23,0.0333,0.7667
Frankfurt am Main Flughafen Fernbahnhof,Hannover Hbf,52.0,57,1,0.9123,0.0175
Hannover Hbf,Hanau Hbf,-62.0,57,1,-1.0877,0.0175
Wolfsburg Hbf,Bonn Hbf,342.0,53,24,6.4528,0.4528
Dortmund Hbf,Frankfurt am Main Flughafen Fernbahnhof,-448.0,45,34,-9.9556,0.7556
Frankfurt (Main) Hbf,Hagen Hbf,647.0,48,41,13.4792,0.8542
München Hbf,Berchtesgaden Hbf,-15.0,4,1,-3.75,0.25
Berchtesgaden Hbf,Bischofswiesen,14.0,41,32,0.3415,0.7805
Bischofswiesen,Bayerisch Gmain,22.0,42,33,0.5238,0.7857
Bayerisch Gmain,Bad Reichenhall-Kirchberg,0.0,42,25,0.0,0.5952
Bad Reichenhall-Kirchberg,Bad Reichenhall,-10.0,42,34,-0.2381,0.8095
Bad Reichenhall,Piding,31.0,42,33,0.7381,0.7857
Piding,Hammerau,32.0,42,35,0.7619,0.8333
Hammerau,Ainring,-22.0,42,30,-0.5238,0.7143
Ainring,Freilassing,-20.0,42,35,-0.4762,0.8333
Freilassing,Traunstein,91.0,43,37,2.1163,0.8605
Traunstein,Übersee,18.0,43,37,0.4186,0.8605
Übersee,Prien am Chiemsee,-25.0,43,36,-0.5814,0.8372
Prien am Chiemsee,Rosenheim,-19.0,43,30,-0.4419,0.6977
Rosenheim,München Ost,27.0,43,30,0.6279,0.6977
München Ost,München-Pasing,84.0,40,36,2.1,0.9
Wolfsburg Hbf,Leipzig Hbf,-20.0,55,3,-0.3636,0.0545
Leipzig Hbf,Braunschweig Hbf,78.0,57,5,1.3684,0.0877
Braunschweig Hbf,Eisenach,-76.0,57,5,-1.3333,0.0877
Eisenach,Hildesheim Hbf,95.0,57,6,1.6667,0.1053
Magdeburg Hbf,Magdeburg-Buckau,-42.0,55,18,-0.7636,0.3273
Magdeburg-Buckau,Helmstedt,88.0,47,18,1.8723,0.383
Braunschweig Hbf,Peine,-24.0,55,27,-0.4364,0.4909
Peine,Hannover Hbf,41.0,47,30,0.8723,0.6383
Oldenburg (Oldb) Hbf,Osnabrück Hbf,-257.0,54,50,-4.7593,0.9259
Osnabrück Hbf,Bad Zwischenahn,302.0,54,45,5.5926,0.8333
Heidelberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,348.0,54,47,6.4444,0.8704
Frankfurt (Main) Hbf,Eisenach,-572.0,55,49,-10.4,0.8909
Weimar,Naumburg (Saale) Hbf,177.0,52,7,3.4038,0.1346
Naumburg (Saale) Hbf,Halle (Saale) Hbf,671.0,50,38,13.42,0.76
Berlin Ostbahnhof,Berlin Südkreuz,62.0,51,23,1.2157,0.451
Kassel-Wilhelmshöhe,Leipzig Hbf,-39.0,57,7,-0.6842,0.1228
Halle (Saale) Hbf,Eisenach,-91.0,57,27,-1.5965,0.4737
Magdeburg Hbf,Berlin Hbf,-231.0,51,46,-4.5294,0.902
Berlin Gesundbrunnen,Stendal Hbf,110.0,51,45,2.1569,0.8824
Chemnitz Hbf,Freiberg (Sachs),1.0,48,10,0.0208,0.2083
Hude,Osnabrück Hbf,-101.0,50,40,-2.02,0.8
Osnabrück Hbf,Delmenhorst,129.0,50,45,2.58,0.9
Nienburg (Weser),Wolfsburg Hbf,-243.0,49,43,-4.9592,0.8776
Hannover Hbf,Stendal Hbf,-213.0,51,44,-4.1765,0.8627
