date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,96.0,8.0,9.0,0.0,0.0,1.0,2.0,9.0,6.0,8.0,7.0,4.0,0.0
2024-05-14,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,18.0,1.0,3.0,12.0,9.0,8.0,0.0
2024-05-13,0.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,17.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,87.0,95.0,95.0,94.0,90.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,8.0,9.0,1.0,1.0,2.0,1.0,2.0,0.0
2024-05-10,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,7.0,9.0,4.0,2.0,6.0,5.0,1.0,0.0
2024-05-09,0.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,3.0,3.0,14.0,1.0,6.0,6.0,0.0,0.0,0.0,6.0,7.0,5.0,4.0,3.0,1.0,0.0
2024-05-08,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,14.0,1.0,19.0,21.0,0.0,0.0,9.0,10.0,20.0,18.0,22.0,20.0,18.0,0.0
2024-05-06,0.0,21.0,20.0,22.0,21.0,21.0,19.0,21.0,18.0,17.0,16.0,5.0,22.0,37.0,0.0,0.0,11.0,30.0,37.0,35.0,36.0,34.0,134.0,0.0
2024-05-05,0.0,35.0,31.0,42.0,45.0,45.0,43.0,44.0,43.0,43.0,46.0,34.0,19.0,25.0,0.0,0.0,32.0,32.0,30.0,28.0,32.0,30.0,26.0,0.0
2024-05-04,0.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0
2024-05-03,0.0,35.0,34.0,35.0,35.0,35.0,34.0,34.0,30.0,30.0,27.0,11.0,1.0,3.0,0.0,0.0,8.0,8.0,3.0,2.0,6.0,7.0,4.0,0.0
2024-05-02,0.0,0.0,0.0,6.0,5.0,5.0,3.0,3.0,1.0,1.0,28.0,13.0,23.0,26.0,0.0,0.0,24.0,25.0,27.0,25.0,24.0,23.0,20.0,0.0
2024-05-01,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0
2024-04-30,0.0,6.0,10.0,10.0,10.0,10.0,8.0,8.0,3.0,9.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0
2024-04-29,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0,7.0,9.0,24.0,25.0,20.0,0.0
2024-04-28,0.0,21.0,23.0,25.0,23.0,23.0,23.0,23.0,25.0,25.0,21.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0
2024-04-27,0.0,11.0,11.0,15.0,14.0,13.0,11.0,11.0,7.0,7.0,3.0,4.0,9.0,24.0,0.0,0.0,3.0,3.0,16.0,13.0,22.0,21.0,19.0,0.0
2024-04-26,0.0,13.0,13.0,13.0,21.0,22.0,21.0,20.0,19.0,18.0,16.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,2.0,0.0
2024-04-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,6.0,4.0,1.0,0.0
2024-04-24,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,3.0,1.0,0.0
2024-04-23,0.0,3.0,2.0,2.0,0.0,0.0,9.0,8.0,5.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
2024-04-22,0.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,24.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0
2024-04-21,0.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,1.0,6.0,3.0,9.0,11.0,9.0,0.0
2024-04-20,0.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0
2024-04-19,0.0,46.0,45.0,50.0,53.0,54.0,64.0,65.0,61.0,61.0,62.0,46.0,1.0,2.0,56.0,57.0,56.0,56.0,1.0,1.0,4.0,2.0,1.0,0.0
2024-04-18,0.0,8.0,10.0,10.0,8.0,9.0,8.0,7.0,8.0,7.0,4.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0,7.0,8.0,0.0
2024-04-17,0.0,4.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,11.0,7.0,4.0,51.0,53.0,0.0,0.0,28.0,55.0,53.0,56.0,62.0,60.0,58.0,0.0
2024-04-16,0.0,105.0,107.0,107.0,105.0,105.0,107.0,106.0,102.0,101.0,98.0,94.0,112.0,0.0,0.0,0.0,168.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,1.0,1.0,1.0,5.0,19.0,21.0,22.0,20.0,18.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,8.0,10.0,6.0,0.0
2024-04-14,0.0,12.0,12.0,16.0,14.0,14.0,12.0,13.0,10.0,10.0,16.0,5.0,69.0,73.0,98.0,102.0,5.0,6.0,0.0,0.0,68.0,68.0,67.0,0.0
2024-04-13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,17.0,16.0,1.0,20.0,21.0,0.0,0.0,0.0,0.0,21.0,22.0,27.0,24.0,21.0,0.0
2024-04-12,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,5.0,0.0,0.0,5.0,6.0,4.0,1.0,2.0,1.0,1.0,0.0
2024-04-11,0.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,17.0,21.0,0.0,0.0,1.0,1.0,23.0,22.0,25.0,27.0,23.0,0.0
2024-04-10,0.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,37.0,37.0,0.0,0.0,0.0,12.0,36.0,39.0,38.0,35.0,38.0,0.0
2024-04-09,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,10.0,11.0,0.0,0.0,0.0,1.0,10.0,7.0,8.0,6.0,2.0,0.0
2024-04-08,0.0,12.0,12.0,15.0,23.0,22.0,21.0,20.0,18.0,17.0,15.0,0.0,6.0,6.0,0.0,0.0,1.0,2.0,5.0,1.0,2.0,0.0,3.0,0.0
2024-04-07,0.0,50.0,59.0,60.0,58.0,58.0,57.0,57.0,59.0,58.0,52.0,36.0,18.0,19.0,0.0,0.0,31.0,33.0,20.0,22.0,22.0,21.0,20.0,0.0
2024-04-06,0.0,12.0,13.0,14.0,27.0,29.0,39.0,39.0,42.0,42.0,38.0,22.0,32.0,33.0,0.0,0.0,21.0,21.0,33.0,31.0,32.0,35.0,32.0,0.0
2024-04-05,0.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,11.0,1.0,168.0,176.0,0.0,0.0,0.0,1.0,0.0,0.0,261.0,259.0,255.0,0.0
2024-04-04,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,25.0,25.0,0.0,0.0,0.0,1.0,24.0,23.0,26.0,26.0,33.0,0.0
2024-04-03,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,11.0,0.0
2024-04-02,0.0,0.0,0.0,2.0,1.0,1.0,10.0,10.0,7.0,6.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,14.0,0.0
