date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0
2024-04-27,0.0,9.0,8.0,9.0,8.0,8.0,7.0,5.0,19.0,17.0,17.0,17.0,26.0,6.0,11.0,11.0,0.0,0.0,11.0,0.0
2024-04-26,0.0,0.0,7.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,50.0,0.0
2024-04-25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,45.0,0.0,0.0,16.0,0.0
2024-04-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,4.0,0.0,1.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,0.0
2024-04-23,0.0,1.0,8.0,8.0,4.0,8.0,10.0,7.0,6.0,6.0,2.0,9.0,11.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0
2024-04-22,0.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-21,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,37.0,0.0,0.0,0.0
2024-04-20,0.0,1.0,0.0,0.0,0.0,8.0,36.0,34.0,30.0,30.0,29.0,29.0,31.0,14.0,10.0,9.0,0.0,0.0,6.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,3.0,12.0,10.0,3.0,4.0,1.0,1.0,18.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0
2024-04-18,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-17,0.0,1.0,3.0,3.0,3.0,3.0,4.0,10.0,11.0,12.0,12.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0
2024-04-16,0.0,3.0,12.0,11.0,6.0,5.0,3.0,2.0,0.0,0.0,1.0,2.0,21.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0
2024-04-15,0.0,1.0,0.0,2.0,1.0,3.0,1.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,1.0,2.0,4.0,1.0,7.0,7.0,6.0,1.0,3.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0
