date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-02,0.0,0.0,1.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-05-01,0.0,0.0,0.0,1.0,3.0,2.0,9.0,11.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-30,0.0,1.0,1.0,1.0,3.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,4.0,2.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-04-28,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,10.0,9.0,8.0,9.0,27.0,7.0,8.0,9.0,5.0,5.0,9.0,10.0,10.0,7.0,7.0,6.0,6.0,2.0,3.0,7.0,0.0
2024-04-26,0.0,0.0,1.0,2.0,6.0,6.0,6.0,8.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0
2024-04-25,0.0,1.0,2.0,3.0,20.0,20.0,20.0,21.0,8.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
2024-04-24,0.0,0.0,1.0,1.0,5.0,7.0,7.0,9.0,6.0,29.0,28.0,19.0,9.0,8.0,7.0,8.0,6.0,6.0,4.0,4.0,6.0,6.0,12.0,0.0
2024-04-23,0.0,0.0,1.0,1.0,7.0,6.0,6.0,8.0,8.0,9.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0
2024-04-22,0.0,1.0,1.0,1.0,9.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,7.0,7.0,10.0,0.0
2024-04-21,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,12.0,11.0,10.0,11.0,11.0,14.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,14.0,18.0,0.0
2024-04-19,0.0,0.0,5.0,4.0,25.0,24.0,24.0,26.0,13.0,15.0,11.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,8.0,25.0,36.0,36.0,0.0
2024-04-18,0.0,1.0,3.0,3.0,16.0,14.0,16.0,16.0,26.0,27.0,22.0,14.0,6.0,6.0,6.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-04-17,0.0,36.0,39.0,38.0,45.0,49.0,48.0,52.0,27.0,30.0,0.0,0.0,105.0,105.0,108.0,108.0,106.0,105.0,104.0,105.0,102.0,102.0,105.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,32.0,38.0,39.0,44.0,43.0,48.0,49.0,5.0,5.0,15.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
