date,München_Hbf.in,München_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-05-18,0.0,2.0,0.0,0.0,9.0,7.0,10.0,10.0,13.0,13.0,10.0,9.0,3.0,2.0,5.0,6.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,14.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2024-05-16,0.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0,2.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-05-15,0.0,4.0,0.0,0.0,2.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
2024-05-14,0.0,15.0,0.0,0.0,12.0,13.0,15.0,15.0,24.0,23.0,18.0,17.0,22.0,23.0,32.0,32.0,0.0,0.0,36.0,0.0,40.0,0.0,0.0,0.0,39.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,0.0,9.0,0.0
2024-05-12,0.0,4.0,0.0,0.0,11.0,30.0,31.0,31.0,35.0,37.0,32.0,31.0,28.0,27.0,32.0,32.0,37.0,37.0,38.0,38.0,38.0,38.0,0.0,0.0,41.0,0.0
2024-05-11,0.0,1.0,0.0,0.0,6.0,6.0,9.0,9.0,14.0,15.0,12.0,12.0,9.0,8.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,6.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
2024-05-09,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,39.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0
2024-05-08,0.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,6.0,7.0,3.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,1.0,0.0,0.0,1.0,5.0,7.0,7.0,7.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,15.0,14.0,10.0,11.0,7.0,7.0,5.0,5.0,0.0,0.0,24.0,0.0,25.0,0.0,0.0,0.0,15.0,0.0
2024-05-05,0.0,2.0,0.0,0.0,4.0,3.0,3.0,3.0,4.0,6.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,14.0,13.0,13.0,0.0,0.0,17.0,18.0,17.0,0.0,0.0,0.0,8.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0
2024-05-01,0.0,1.0,0.0,0.0,2.0,2.0,5.0,5.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,9.0,9.0,10.0,7.0,7.0,6.0,6.0,0.0,0.0,5.0,0.0
2024-04-30,0.0,6.0,0.0,0.0,11.0,12.0,14.0,14.0,17.0,16.0,10.0,12.0,8.0,7.0,5.0,5.0,5.0,5.0,8.0,8.0,9.0,9.0,0.0,0.0,8.0,0.0
