date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Friedberg(Hess).in,Friedberg(Hess).out,Bad_Nauheim.in,Bad_Nauheim.out,Wetzlar.in,Wetzlar.out,Dillenburg.in,Dillenburg.out,Siegen.in,Siegen.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Kreuztal.in,Kreuztal.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Finnentrop.in,Finnentrop.out,Plettenberg.in,Plettenberg.out,Werdohl.in,Werdohl.out,Altena(Westf).in,Altena(Westf).out,Hagen_Hbf.in,Hagen_Hbf.out,Letmathe.in,Letmathe.out,Witten_Hbf.in,Witten_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out
2024-05-15,0.0,1.0,5.0,5.0,0.0,0.0,4.0,4.0,8.0,8.0,9.0,10.0,19.0,19.0,19.0,19.0,17.0,17.0,16.0,16.0,17.0,22.0,23.0,22.0,22.0,22.0,35.0,35.0,34.0,34.0,0.0,0.0,23.0,21.0,24.0,25.0,29.0,24.0,0.0,0.0,59.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,16.0,0.0,0.0,17.0,15.0,17.0,17.0,16.0,16.0,16.0,15.0,19.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,8.0,8.0,13.0,12.0,22.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,4.0,0.0
2024-05-11,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,3.0,6.0,6.0,10.0,8.0,9.0,0.0
2024-05-10,0.0,1.0,1.0,1.0,0.0,0.0,7.0,7.0,6.0,6.0,4.0,5.0,5.0,7.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,4.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,26.0,27.0,26.0,26.0,27.0,23.0,25.0,26.0,25.0,25.0,26.0,27.0,27.0,27.0,28.0,27.0,28.0,28.0,27.0,28.0,27.0,27.0,0.0,0.0,27.0,26.0,28.0,27.0,34.0,34.0,33.0,31.0,35.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,0.0
2024-05-04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,4.0,3.0,2.0,1.0,2.0,6.0,4.0,5.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,19.0,18.0,18.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,2.0,1.0,1.0,0.0,0.0,7.0,7.0,13.0,13.0,12.0,13.0,12.0,8.0,13.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,0.0,0.0,13.0,11.0,11.0,10.0,16.0,16.0,18.0,17.0,17.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,13.0,11.0,17.0,0.0
2024-04-30,0.0,9.0,9.0,9.0,0.0,0.0,7.0,10.0,9.0,10.0,9.0,9.0,9.0,14.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,17.0,0.0,0.0,17.0,16.0,19.0,18.0,26.0,27.0,26.0,26.0,28.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,14.0,14.0,14.0,16.0,23.0,23.0,24.0,21.0,22.0,21.0,22.0,21.0,21.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,23.0,0.0,0.0,24.0,23.0,25.0,24.0,25.0,26.0,30.0,29.0,33.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0
2024-04-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,8.0,8.0,9.0,9.0,11.0,10.0,17.0,0.0
2024-04-26,0.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,8.0,8.0,8.0,0.0
2024-04-24,0.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,5.0,4.0,8.0,8.0,11.0,10.0,12.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,7.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,0.0
2024-04-22,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,6.0,6.0,6.0,7.0,6.0,3.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,5.0,17.0,15.0,19.0,19.0,20.0,19.0,18.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,5.0,4.0,4.0,4.0,7.0,6.0,6.0,0.0
2024-04-19,0.0,1.0,1.0,3.0,0.0,0.0,3.0,4.0,5.0,5.0,5.0,6.0,7.0,3.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0
2024-04-18,0.0,2.0,2.0,3.0,0.0,0.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,0.0,0.0,7.0,6.0,5.0,4.0,4.0,4.0,7.0,6.0,6.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0
2024-04-15,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,11.0,10.0,10.0,16.0,17.0,17.0,17.0,15.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,19.0,28.0,28.0,28.0,29.0,34.0,32.0,35.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,7.0,13.0,12.0,15.0,0.0
2024-04-13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,5.0,4.0,3.0,3.0,2.0,2.0,6.0,0.0
2024-04-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,11.0,0.0
2024-04-11,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,9.0,9.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,4.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,8.0,7.0,6.0,5.0,0.0
2024-04-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,10.0,9.0,60.0,58.0,58.0,77.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,0.0,0.0,79.0,78.0,85.0,84.0,82.0,82.0,81.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,13.0,12.0,14.0,15.0,16.0,17.0,17.0,17.0,18.0,19.0,0.0,0.0,20.0,18.0,24.0,22.0,23.0,24.0,22.0,23.0,23.0,0.0
2024-04-06,0.0,31.0,31.0,32.0,0.0,0.0,29.0,30.0,29.0,29.0,28.0,29.0,28.0,24.0,29.0,30.0,29.0,29.0,28.0,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,31.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,28.0,0.0
2024-04-05,0.0,5.0,5.0,5.0,0.0,0.0,2.0,3.0,17.0,17.0,34.0,35.0,35.0,36.0,35.0,35.0,35.0,35.0,34.0,35.0,38.0,38.0,38.0,39.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,49.0,52.0,51.0,51.0,52.0,55.0,54.0,54.0,0.0
2024-04-04,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,9.0,10.0,9.0,8.0,8.0,11.0,11.0,12.0,12.0,14.0,19.0,32.0,35.0,36.0,36.0,36.0,36.0,0.0,0.0,37.0,36.0,37.0,36.0,36.0,36.0,35.0,36.0,38.0,0.0
2024-04-03,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,0.0,0.0,13.0,13.0,14.0,13.0,14.0,14.0,16.0,15.0,14.0,0.0
2024-04-02,0.0,19.0,20.0,20.0,0.0,0.0,19.0,18.0,20.0,20.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
