date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,3.0,7.0,4.0,0.0,0.0,11.0,12.0,10.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,10.0,9.0,8.0,8.0,6.0,7.0,0.0,0.0,5.0,6.0,11.0,6.0,6.0,8.0,12.0,11.0,13.0,13.0,10.0,11.0,9.0,0.0
2024-05-28,0.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,11.0,11.0,8.0,9.0,8.0,10.0,10.0,10.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,0.0,0.0,11.0,13.0,31.0,26.0,29.0,28.0,15.0,16.0,12.0,12.0,12.0,12.0,12.0,0.0
2024-05-27,0.0,20.0,19.0,18.0,18.0,19.0,18.0,18.0,13.0,14.0,8.0,9.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,6.0,4.0,4.0,0.0,0.0,3.0,4.0,13.0,8.0,8.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,11.0,15.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,26.0,27.0,29.0,29.0,0.0,0.0,34.0,36.0,47.0,42.0,43.0,42.0,33.0,33.0,32.0,32.0,31.0,32.0,31.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,7.0,15.0,15.0,15.0,13.0,13.0,11.0,16.0,0.0,0.0,14.0,16.0,16.0,11.0,14.0,13.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,19.0,40.0,39.0,41.0,42.0,43.0,41.0,45.0,43.0,46.0,47.0,45.0,45.0,41.0,42.0,0.0,0.0,38.0,39.0,49.0,46.0,47.0,46.0,37.0,36.0,34.0,35.0,36.0,37.0,37.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0,5.0,5.0,8.0,8.0,6.0,6.0,7.0,7.0,0.0,0.0,10.0,11.0,12.0,7.0,8.0,7.0,19.0,19.0,24.0,25.0,21.0,22.0,21.0,0.0
