date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,8.0,8.0,11.0,10.0,14.0,14.0,14.0,13.0,13.0,13.0,11.0,10.0,7.0,7.0,6.0,6.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,0.0
2024-05-29,0.0,1.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,6.0,5.0,4.0,1.0,1.0,8.0,8.0,14.0,12.0,7.0,4.0,1.0,0.0,4.0,0.0
2024-05-28,0.0,1.0,0.0,1.0,3.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,16.0,23.0,22.0,24.0,22.0,22.0,20.0,27.0,25.0,23.0,16.0,16.0,18.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,6.0,30.0,29.0,28.0,25.0,25.0,22.0,22.0,22.0,21.0,20.0,17.0,16.0,15.0,14.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,22.0,0.0,24.0,19.0,19.0,19.0,18.0,16.0,16.0,14.0,14.0,14.0,14.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,28.0,0.0
2024-05-24,0.0,1.0,4.0,5.0,7.0,7.0,12.0,11.0,10.0,9.0,8.0,8.0,5.0,7.0,0.0,0.0,0.0,4.0,9.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,1.0,6.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0
2024-05-22,0.0,12.0,15.0,13.0,15.0,15.0,18.0,18.0,16.0,16.0,15.0,14.0,11.0,12.0,6.0,14.0,14.0,14.0,11.0,11.0,6.0,3.0,1.0,0.0,1.0,0.0
2024-05-21,0.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,5.0,5.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,128.0,134.0,133.0,133.0,133.0,134.0,133.0,132.0,132.0,132.0,131.0,129.0,129.0,98.0,98.0,93.0,93.0,88.0,87.0,82.0,90.0,82.0,82.0,74.0,0.0
2024-05-18,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,6.0,8.0,7.0,5.0,5.0,7.0,7.0,0.0,0.0
2024-05-17,0.0,14.0,15.0,14.0,14.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,22.0,46.0,21.0,21.0,18.0,19.0,16.0,18.0,15.0,12.0,5.0,5.0,5.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,37.0,34.0,34.0,34.0,33.0,32.0,29.0,29.0,29.0,28.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0
2024-05-14,0.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,5.0,4.0,3.0,4.0,13.0,2.0,3.0,1.0,7.0,2.0,1.0,4.0,1.0,11.0,11.0,18.0,0.0
2024-05-13,0.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0
2024-05-10,0.0,24.0,21.0,21.0,19.0,18.0,19.0,19.0,18.0,17.0,18.0,17.0,17.0,16.0,19.0,20.0,17.0,17.0,12.0,12.0,6.0,2.0,0.0,0.0,10.0,0.0
