date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-20,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,39.0,40.0,39.0,39.0,47.0,46.0,45.0,0.0
2024-05-19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,7.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,41.0,38.0,36.0,36.0,38.0,37.0,35.0,0.0
2024-05-16,0.0,0.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,3.0,4.0,0.0,1.0,4.0,5.0,6.0,4.0,4.0,0.0
2024-05-15,0.0,0.0,17.0,17.0,15.0,14.0,17.0,18.0,18.0,19.0,18.0,18.0,21.0,22.0,24.0,25.0,28.0,28.0,25.0,0.0
2024-05-14,0.0,0.0,6.0,6.0,9.0,9.0,11.0,12.0,21.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0
2024-05-12,0.0,0.0,21.0,22.0,19.0,19.0,20.0,21.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,19.0,20.0,20.0,18.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,8.0,8.0,6.0,0.0
