date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,0.0,0.0,3.0,0.0
2024-05-29,0.0,1.0,0.0,8.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,4.0,3.0,1.0,5.0,5.0,9.0,9.0,0.0,0.0,10.0,0.0
2024-05-28,0.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,6.0,6.0,10.0,10.0,0.0,0.0,7.0,0.0
2024-05-27,0.0,2.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,20.0,20.0,21.0,21.0,0.0,0.0,24.0,0.0
2024-05-26,0.0,1.0,0.0,2.0,2.0,1.0,21.0,22.0,20.0,20.0,30.0,31.0,34.0,39.0,45.0,45.0,47.0,48.0,0.0,0.0,51.0,0.0
2024-05-25,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,14.0,14.0,0.0,0.0,18.0,0.0
2024-05-24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,16.0,16.0,16.0,0.0,0.0,21.0,0.0
2024-05-23,0.0,14.0,14.0,11.0,11.0,10.0,7.0,7.0,5.0,6.0,17.0,17.0,28.0,28.0,43.0,43.0,44.0,44.0,0.0,0.0,44.0,0.0
2024-05-22,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,7.0,0.0
2024-05-21,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,5.0,0.0,0.0,5.0,0.0
2024-05-20,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,4.0,7.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0
2024-05-19,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0
2024-05-18,0.0,11.0,0.0,10.0,10.0,9.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,27.0,0.0
2024-05-17,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,22.0,22.0,22.0,22.0,0.0,0.0,24.0,0.0
2024-05-16,0.0,18.0,11.0,16.0,16.0,15.0,9.0,10.0,10.0,12.0,15.0,16.0,23.0,22.0,35.0,34.0,40.0,40.0,0.0,0.0,52.0,0.0
2024-05-15,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,6.0,10.0,10.0,11.0,10.0,0.0,0.0,10.0,0.0
2024-05-14,0.0,1.0,0.0,2.0,2.0,3.0,3.0,4.0,8.0,9.0,13.0,13.0,14.0,16.0,25.0,24.0,24.0,24.0,0.0,0.0,27.0,0.0
2024-05-13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,15.0,17.0,20.0,20.0,24.0,24.0,0.0,0.0,27.0,0.0
2024-05-12,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,8.0,8.0,9.0,8.0,0.0,0.0,5.0,0.0
2024-05-11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,5.0,0.0
2024-05-10,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0,10.0,10.0,9.0,9.0,0.0,0.0,14.0,0.0
2024-05-09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,7.0,0.0
2024-05-08,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0,21.0,0.0
2024-05-07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,13.0,13.0,13.0,16.0,16.0,0.0,0.0,21.0,0.0
2024-05-06,0.0,12.0,12.0,14.0,14.0,13.0,15.0,15.0,11.0,12.0,13.0,12.0,12.0,10.0,11.0,10.0,27.0,27.0,0.0,0.0,30.0,0.0
2024-05-05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0
2024-05-04,0.0,1.0,0.0,1.0,0.0,3.0,5.0,6.0,1.0,2.0,5.0,5.0,19.0,21.0,24.0,24.0,27.0,26.0,0.0,0.0,29.0,0.0
2024-05-03,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,12.0,10.0,15.0,15.0,0.0,0.0,18.0,0.0
2024-05-02,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,6.0,4.0,11.0,11.0,19.0,18.0,0.0,0.0,18.0,0.0
2024-05-01,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,8.0,5.0,4.0,7.0,7.0,0.0,0.0,8.0,0.0
2024-04-30,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,16.0,40.0,40.0,52.0,52.0,0.0,0.0,52.0,0.0
2024-04-29,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,17.0,17.0,27.0,26.0,0.0,0.0,26.0,0.0
2024-04-28,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,11.0,11.0,0.0,0.0,12.0,0.0
2024-04-27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,7.0,0.0,0.0,7.0,0.0
2024-04-26,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,3.0,12.0,11.0,29.0,29.0,0.0,0.0,31.0,0.0
2024-04-25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,9.0,0.0,0.0,10.0,0.0
2024-04-24,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,12.0,12.0,14.0,15.0,13.0,13.0,17.0,16.0,0.0,0.0,23.0,0.0
