date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Coburg.in,Coburg.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
2024-05-12,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,11.0,13.0,22.0,22.0,19.0,0.0
2024-05-11,0.0,1.0,1.0,1.0,7.0,9.0,0.0,0.0,10.0,9.0,6.0,6.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,4.0,12.0,13.0,0.0,0.0,10.0,10.0,8.0,7.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-09,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,7.0,7.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0
2024-05-08,0.0,24.0,24.0,25.0,26.0,24.0,0.0,0.0,31.0,31.0,31.0,31.0,30.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
2024-05-07,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,5.0,6.0,7.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,4.0,4.0,2.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,3.0,1.0,0.0,6.0,5.0,5.0,9.0,8.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
2024-05-05,0.0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,9.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,0.0
2024-05-04,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,5.0,2.0,7.0,7.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-03,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
