date,Kiel_Hbf.in,Kiel_Hbf.out,Neumünster.in,Neumünster.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-01,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,9.0,17.0,15.0,20.0,19.0,23.0,23.0,32.0,37.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,0.0,32.0,35.0,43.0,38.0,38.0,38.0,28.0,28.0,25.0,25.0,21.0,22.0,21.0,0.0
2024-04-30,0.0,0.0,0.0,45.0,48.0,46.0,48.0,49.0,44.0,44.0,40.0,40.0,47.0,90.0,109.0,108.0,113.0,114.0,120.0,120.0,118.0,118.0,0.0,0.0,0.0,0.0,124.0,149.0,169.0,169.0,182.0,186.0,187.0,184.0,184.0,192.0,194.0,194.0,189.0,188.0,188.0,188.0,200.0,0.0
2024-04-29,0.0,7.0,9.0,10.0,9.0,7.0,9.0,10.0,6.0,6.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,6.0,9.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,14.0,15.0,18.0,12.0,12.0,11.0,8.0,7.0,5.0,5.0,1.0,1.0,0.0,0.0
2024-04-28,0.0,1.0,2.0,4.0,9.0,6.0,9.0,10.0,6.0,6.0,2.0,2.0,12.0,14.0,15.0,14.0,26.0,26.0,29.0,29.0,27.0,28.0,0.0,0.0,0.0,0.0,27.0,24.0,0.0,0.0,23.0,24.0,25.0,21.0,20.0,23.0,10.0,10.0,7.0,7.0,4.0,3.0,2.0,0.0
2024-04-27,0.0,0.0,7.0,8.0,21.0,20.0,22.0,23.0,19.0,20.0,25.0,26.0,28.0,29.0,43.0,41.0,48.0,49.0,52.0,53.0,51.0,52.0,0.0,0.0,0.0,0.0,53.0,51.0,0.0,0.0,50.0,51.0,57.0,52.0,53.0,62.0,68.0,69.0,65.0,65.0,62.0,62.0,62.0,0.0
2024-04-26,0.0,16.0,28.0,29.0,39.0,38.0,38.0,38.0,39.0,38.0,42.0,42.0,42.0,42.0,47.0,45.0,56.0,55.0,59.0,60.0,58.0,59.0,0.0,0.0,0.0,0.0,68.0,67.0,0.0,0.0,68.0,70.0,68.0,63.0,65.0,91.0,97.0,98.0,96.0,98.0,97.0,96.0,97.0,0.0
2024-04-25,0.0,5.0,17.0,18.0,19.0,16.0,18.0,18.0,13.0,13.0,9.0,9.0,7.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,29.0,27.0,0.0,0.0,22.0,24.0,25.0,21.0,23.0,22.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,0.0
2024-04-24,0.0,33.0,39.0,40.0,53.0,53.0,53.0,53.0,49.0,49.0,51.0,52.0,55.0,56.0,61.0,59.0,60.0,60.0,75.0,88.0,92.0,93.0,0.0,0.0,0.0,0.0,100.0,98.0,0.0,0.0,100.0,101.0,100.0,94.0,93.0,91.0,80.0,80.0,89.0,92.0,96.0,96.0,101.0,0.0
2024-04-23,0.0,4.0,3.0,4.0,17.0,15.0,20.0,20.0,26.0,36.0,29.0,30.0,31.0,32.0,35.0,34.0,34.0,35.0,54.0,54.0,53.0,54.0,0.0,0.0,0.0,0.0,56.0,54.0,0.0,0.0,49.0,51.0,61.0,57.0,55.0,54.0,45.0,47.0,50.0,51.0,49.0,49.0,49.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,11.0,9.0,12.0,12.0,16.0,17.0,15.0,16.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,15.0,15.0,18.0,11.0,10.0,8.0,8.0,8.0,10.0,11.0,9.0,15.0,9.0,0.0
