date,Hannover_Hbf.in,Hannover_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out
2024-05-30,0.0,0.0,3.0,0.0
2024-05-29,0.0,4.0,3.0,0.0
2024-05-28,0.0,0.0,1.0,0.0
2024-05-27,0.0,0.0,22.0,0.0
