date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Weinheim_Hbf.in,Weinheim_Hbf.out,Bruchsal.in,Bruchsal.out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Neu-Edingen/Friedrichsfeld.in,Neu-Edingen/Friedrichsfeld.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Bensheim.in,Bensheim.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Friedberg(Hess).in,Friedberg(Hess).out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Gießen.in,Gießen.out,Marburg(Lahn).in,Marburg(Lahn).out,Treysa.in,Treysa.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out
2024-05-30,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-29,0.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0
2024-05-28,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,0.0,0.0,10.0,9.0,9.0,9.0,7.0,7.0,9.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,12.0,10.0,10.0,9.0,9.0,6.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
2024-05-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,24.0,24.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,4.0,0.0,0.0,6.0,6.0,9.0,9.0,8.0,8.0,0.0,0.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
2024-05-22,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-21,0.0,7.0,0.0,0.0,6.0,6.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,19.0,17.0,18.0,0.0,0.0,0.0,0.0,20.0,19.0,22.0,22.0,21.0,21.0,13.0,0.0
2024-05-20,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,6.0,5.0,5.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,35.0,34.0,34.0,34.0,31.0,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,9.0,8.0,7.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,77.0,77.0,93.0,93.0,89.0,0.0,77.0,77.0,83.0,84.0,94.0,94.0,92.0,92.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
