date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-16,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0,42.0,42.0,34.0,35.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,0.0
2024-05-15,0.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0,5.0,7.0,7.0,7.0,0.0,0.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,6.0,0.0
2024-05-14,0.0,1.0,1.0,2.0,0.0,0.0,4.0,5.0,4.0,3.0,3.0,5.0,75.0,76.0,0.0,0.0,76.0,77.0,81.0,85.0,86.0,86.0,0.0,0.0,84.0,83.0,87.0,88.0,91.0,90.0,95.0,94.0,95.0,94.0,85.0,86.0,96.0,96.0,96.0,96.0,97.0,97.0,99.0,0.0
2024-05-13,0.0,2.0,5.0,6.0,11.0,11.0,10.0,10.0,31.0,33.0,31.0,27.0,28.0,29.0,0.0,0.0,0.0,0.0,27.0,26.0,28.0,28.0,0.0,0.0,28.0,27.0,26.0,26.0,27.0,43.0,44.0,63.0,68.0,66.0,58.0,59.0,58.0,57.0,57.0,56.0,55.0,54.0,55.0,0.0
2024-05-12,0.0,25.0,25.0,27.0,23.0,27.0,22.0,22.0,19.0,23.0,21.0,34.0,85.0,93.0,0.0,0.0,0.0,0.0,97.0,103.0,104.0,104.0,0.0,0.0,102.0,103.0,102.0,104.0,103.0,105.0,111.0,110.0,111.0,110.0,105.0,106.0,115.0,115.0,115.0,0.0,0.0,85.0,0.0,0.0
2024-05-11,0.0,11.0,11.0,11.0,7.0,7.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,6.0,6.0,10.0,10.0,9.0,8.0,8.0,7.0,9.0,7.0,3.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0
2024-05-10,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,18.0,19.0,19.0,0.0,0.0,17.0,16.0,19.0,19.0,18.0,17.0,60.0,59.0,57.0,57.0,51.0,51.0,46.0,45.0,47.0,46.0,43.0,43.0,43.0,0.0
2024-05-09,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,7.0,9.0,10.0,0.0,0.0,7.0,7.0,6.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,12.0,11.0,14.0,13.0,10.0,10.0,10.0,0.0
2024-05-08,0.0,0.0,0.0,2.0,0.0,1.0,9.0,9.0,4.0,6.0,6.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,17.0,16.0,15.0,15.0,20.0,20.0,24.0,23.0,23.0,21.0,18.0,19.0,14.0,13.0,14.0,14.0,10.0,10.0,9.0,0.0
2024-05-07,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,15.0,14.0,12.0,12.0,17.0,17.0,10.0,10.0,9.0,9.0,17.0,17.0,8.0,0.0,9.0,0.0
