date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,12.0,2.0,2.0,2.0,11.0,6.0,5.0,0.0
2024-05-29,0.0,1.0,45.0,44.0,0.0,0.0,0.0,0.0,52.0,58.0,56.0,44.0,48.0,53.0,56.0,55.0,54.0,0.0
2024-05-28,0.0,12.0,93.0,94.0,0.0,0.0,0.0,0.0,101.0,104.0,105.0,93.0,93.0,92.0,81.0,81.0,77.0,0.0
2024-05-27,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,15.0,15.0,5.0,6.0,6.0,10.0,6.0,8.0,0.0
2024-05-26,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-05-24,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,10.0,10.0,11.0,4.0,3.0,9.0,0.0
2024-05-23,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,7.0,7.0,6.0,2.0,0.0,0.0,0.0
2024-05-22,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,12.0,11.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0
2024-05-21,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,4.0,6.0,5.0,0.0,0.0,2.0,0.0
2024-05-20,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,21.0,22.0,21.0,3.0,1.0,2.0,0.0,1.0,6.0,0.0
2024-05-19,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,35.0,38.0,38.0,0.0,0.0,0.0,0.0,82.0,82.0,83.0,71.0,71.0,71.0,71.0,70.0,0.0,0.0
2024-05-16,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,27.0,28.0,27.0,10.0,9.0,9.0,13.0,8.0,11.0,0.0
2024-05-14,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,8.0,8.0,2.0,0.0
2024-05-13,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,15.0,13.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0
2024-05-12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,47.0,47.0,45.0,27.0,27.0,27.0,22.0,22.0,16.0,0.0
2024-05-10,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,29.0,30.0,29.0,10.0,11.0,11.0,34.0,34.0,29.0,0.0
2024-05-09,0.0,1.0,5.0,8.0,11.0,18.0,24.0,25.0,29.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,0.0,5.0,4.0,3.0,4.0,5.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,3.0,12.0,12.0,18.0,18.0,20.0,21.0,27.0,27.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,1.0,0.0,1.0,9.0,9.0,9.0,9.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,17.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,12.0,13.0,20.0,20.0,28.0,28.0,39.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,8.0,8.0,11.0,1.0,1.0,1.0,2.0,8.0,3.0,0.0
2024-04-30,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,1.0,1.0,2.0,11.0,11.0,14.0,0.0
2024-04-29,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,11.0,11.0,14.0,0.0
2024-04-28,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0
2024-04-27,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0,1.0,1.0,12.0,12.0,11.0,0.0
2024-04-26,0.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,1.0,0.0,1.0,122.0,0.0,0.0,0.0
