,date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
25,2024-05-05,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,4.0,0.0
26,2024-05-04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0
27,2024-05-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0
28,2024-05-02,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,13.0,13.0,14.0,13.0,12.0,12.0,10.0,0.0
29,2024-05-01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,7.0,7.0,9.0,9.0,10.0,11.0,12.0,12.0,10.0,10.0,4.0,0.0
30,2024-04-30,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,6.0,5.0,5.0,0.0,0.0
31,2024-04-29,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,4.0,5.0,7.0,6.0,5.0,5.0,0.0,0.0
32,2024-04-28,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,2.0,0.0
33,2024-04-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,17.0,17.0,15.0,16.0,23.0,24.0,25.0,24.0,22.0,22.0,19.0,0.0
34,2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,6.0,5.0,5.0,0.0,0.0
35,2024-04-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0
36,2024-04-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
37,2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,0.0,0.0
38,2024-04-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,10.0,11.0,12.0,12.0,11.0,11.0,4.0,0.0
39,2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,9.0,9.0,9.0,6.0,7.0,6.0,6.0,7.0,6.0,3.0,3.0,0.0,0.0
40,2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0
41,2024-04-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0
42,2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0
43,2024-04-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
44,2024-04-16,0.0,22.0,0.0,0.0,0.0,0.0,20.0,19.0,20.0,24.0,27.0,27.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,29.0,23.0,0.0
45,2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,6.0,8.0,9.0,10.0,9.0,9.0,9.0,3.0,0.0
46,2024-04-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,32.0,32.0,39.0,39.0,43.0,46.0,47.0,46.0,46.0,47.0,41.0,0.0
47,2024-04-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,22.0,0.0
48,2024-04-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,5.0,2.0,0.0
49,2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,8.0,7.0,10.0,11.0,10.0,10.0,10.0,4.0,0.0
50,2024-04-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,7.0,6.0,4.0,4.0,0.0,0.0
51,2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,6.0,7.0,12.0,13.0,14.0,14.0,13.0,13.0,10.0,0.0
52,2024-04-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,4.0,5.0,10.0,10.0,10.0,9.0,8.0,8.0,2.0,0.0
53,2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,10.0,9.0,10.0,8.0,9.0,11.0,11.0,10.0,10.0,4.0,0.0
54,2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,1.0,0.0
55,2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0
56,2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,0.0,0.0
57,2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,8.0,8.0,9.0,9.0,7.0,7.0,1.0,0.0
58,2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,30.0,30.0,31.0,31.0,29.0,29.0,23.0,0.0
59,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0
