date,Westerland(Sylt).in,Westerland(Sylt).out,Keitum.in,Keitum.out,Klanxbüll.in,Klanxbüll.out,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Itzehoe.in,Itzehoe.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-05-18,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,10.0,20.0,20.0,22.0,23.0,20.0,12.0,10.0,10.0,10.0,11.0,4.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
2024-05-17,0.0,14.0,13.0,15.0,15.0,15.0,4.0,2.0,13.0,25.0,27.0,27.0,29.0,29.0,29.0,12.0,32.0,33.0,33.0,34.0,29.0,30.0,26.0,26.0,25.0,25.0,29.0,0.0,0.0,0.0
2024-05-16,0.0,2.0,0.0,0.0,0.0,6.0,3.0,15.0,4.0,17.0,19.0,19.0,24.0,25.0,21.0,20.0,15.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,3.0,2.0,2.0,2.0,1.0,2.0,15.0,2.0,15.0,24.0,24.0,24.0,24.0,20.0,19.0,25.0,25.0,26.0,3.0,22.0,23.0,23.0,23.0,22.0,22.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,13.0,11.0,11.0,13.0,13.0,10.0,6.0,10.0,9.0,20.0,20.0,23.0,26.0,29.0,26.0,21.0,23.0,32.0,30.0,0.0,0.0,71.0,71.0,75.0,75.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,9.0,11.0,13.0,9.0,9.0,9.0,8.0,13.0,0.0,0.0,0.0
2024-05-12,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,16.0,16.0,18.0,18.0,23.0,23.0,18.0,20.0,20.0,20.0,16.0,17.0,16.0,15.0,20.0,20.0,24.0,0.0,0.0,0.0
2024-05-11,0.0,14.0,13.0,12.0,12.0,14.0,13.0,12.0,13.0,12.0,18.0,18.0,19.0,19.0,15.0,15.0,19.0,19.0,19.0,20.0,36.0,37.0,31.0,31.0,32.0,32.0,31.0,0.0,0.0,0.0
2024-05-10,0.0,29.0,29.0,29.0,30.0,32.0,31.0,29.0,32.0,29.0,25.0,24.0,24.0,24.0,25.0,21.0,24.0,24.0,25.0,27.0,25.0,27.0,25.0,25.0,26.0,26.0,27.0,0.0,0.0,0.0
2024-05-09,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,7.0,6.0,7.0,7.0,9.0,3.0,6.0,6.0,8.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
