date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,.in,.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,16.0,15.0,16.0,17.0,14.0,14.0,12.0,13.0,17.0,15.0,15.0,14.0,14.0,0.0
2024-05-29,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,44.0,45.0,43.0,44.0,45.0,45.0,43.0,45.0,40.0,41.0,39.0,40.0,39.0,0.0
2024-05-28,0.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,20.0,24.0,24.0,24.0,24.0,27.0,28.0,27.0,28.0,24.0,23.0,24.0,21.0,23.0,0.0
2024-05-27,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,9.0,11.0,12.0,19.0,21.0,21.0,21.0,20.0,21.0,17.0,17.0,19.0,16.0,20.0,0.0
2024-05-26,0.0,5.0,3.0,5.0,0.0,0.0,4.0,5.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,66.0,68.0,69.0,67.0,66.0,63.0,64.0,64.0,65.0,60.0,61.0,59.0,59.0,58.0,0.0
2024-05-24,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,7.0,9.0,8.0,6.0,6.0,4.0,5.0,3.0,6.0,3.0,3.0,2.0,1.0,2.0,0.0
2024-05-23,0.0,3.0,2.0,5.0,0.0,0.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,7.0,10.0,18.0,18.0,20.0,21.0,22.0,22.0,29.0,30.0,29.0,0.0,29.0,0.0,30.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,4.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,12.0,14.0,19.0,21.0,23.0,32.0,34.0,34.0,35.0,36.0,32.0,32.0,34.0,34.0,33.0,0.0
2024-05-15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
