date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-20,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,5.0,5.0,12.0,13.0,9.0,8.0,10.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,0.0,0.0,0.0
2024-05-19,0.0,5.0,5.0,5.0,0.0,3.0,2.0,3.0,2.0,2.0,7.0,9.0,10.0,16.0,13.0,19.0,22.0,22.0,23.0,23.0,22.0,26.0,25.0,24.0,25.0,0.0,0.0,0.0
2024-05-18,0.0,1.0,0.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,2.0,0.0,4.0,2.0,4.0,1.0,2.0,5.0,6.0,7.0,10.0,10.0,12.0,31.0,29.0,30.0,30.0,33.0,34.0,32.0,34.0,34.0,34.0,32.0,0.0,0.0,0.0
2024-05-16,0.0,1.0,0.0,4.0,0.0,5.0,3.0,4.0,11.0,12.0,13.0,13.0,12.0,14.0,10.0,9.0,8.0,8.0,6.0,6.0,4.0,4.0,3.0,3.0,5.0,6.0,5.0,0.0
2024-05-15,0.0,10.0,10.0,10.0,8.0,9.0,4.0,5.0,47.0,46.0,56.0,56.0,66.0,68.0,66.0,66.0,66.0,66.0,69.0,70.0,69.0,69.0,69.0,68.0,67.0,68.0,67.0,0.0
2024-05-14,0.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,5.0,6.0,6.0,7.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,9.0,9.0,8.0,0.0
2024-05-13,0.0,1.0,0.0,1.0,1.0,8.0,11.0,12.0,7.0,8.0,20.0,20.0,35.0,36.0,37.0,36.0,37.0,36.0,35.0,35.0,34.0,34.0,34.0,33.0,31.0,32.0,32.0,0.0
2024-05-12,0.0,0.0,0.0,4.0,0.0,2.0,13.0,14.0,7.0,8.0,9.0,15.0,13.0,13.0,9.0,8.0,8.0,8.0,7.0,8.0,24.0,33.0,0.0,0.0,62.0,0.0,0.0,0.0
2024-05-11,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-10,0.0,2.0,0.0,9.0,8.0,7.0,5.0,5.0,2.0,2.0,7.0,8.0,8.0,8.0,4.0,10.0,7.0,6.0,7.0,8.0,27.0,26.0,26.0,25.0,25.0,0.0,0.0,0.0
2024-05-09,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,59.0,59.0,59.0,58.0,61.0,61.0,61.0,61.0,60.0,60.0,62.0,62.0,62.0,61.0,66.0,0.0
2024-05-08,0.0,3.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,10.0,10.0,10.0,10.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,29.0,0.0
2024-05-07,0.0,1.0,1.0,5.0,3.0,4.0,3.0,6.0,3.0,1.0,15.0,17.0,16.0,18.0,17.0,17.0,17.0,18.0,17.0,17.0,15.0,16.0,20.0,21.0,20.0,20.0,20.0,0.0
2024-05-06,0.0,8.0,8.0,9.0,9.0,8.0,5.0,6.0,2.0,12.0,22.0,23.0,22.0,24.0,26.0,25.0,27.0,29.0,29.0,31.0,31.0,33.0,0.0,0.0,34.0,34.0,31.0,0.0
2024-05-05,0.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,2.0,2.0,4.0,3.0,5.0,6.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,7.0,7.0,6.0,7.0,0.0,0.0
2024-05-04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,8.0,21.0,20.0,22.0,23.0,24.0,24.0,23.0,23.0,26.0,28.0,28.0,26.0,26.0,0.0
2024-05-03,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,11.0,12.0,39.0,41.0,45.0,46.0,47.0,46.0,48.0,56.0,59.0,61.0,64.0,64.0,64.0,62.0,62.0,0.0
2024-05-02,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,9.0,9.0,8.0,8.0,7.0,7.0,11.0,11.0,11.0,10.0,14.0,0.0
2024-05-01,0.0,4.0,4.0,5.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,10.0,10.0,9.0,9.0,19.0,0.0
2024-04-30,0.0,5.0,0.0,4.0,3.0,4.0,2.0,9.0,4.0,5.0,3.0,4.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,5.0,16.0,17.0,21.0,21.0,20.0,20.0,22.0,0.0
2024-04-29,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,10.0,7.0,7.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,6.0,6.0,15.0,0.0
2024-04-28,0.0,1.0,0.0,8.0,0.0,7.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,15.0,15.0,13.0,17.0,17.0,15.0,14.0,14.0,14.0,19.0,19.0,18.0,0.0,0.0,0.0
2024-04-27,0.0,9.0,9.0,7.0,6.0,5.0,8.0,9.0,4.0,3.0,7.0,6.0,8.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,12.0,13.0,12.0,0.0,0.0,0.0
2024-04-26,0.0,28.0,28.0,33.0,28.0,33.0,49.0,50.0,48.0,50.0,54.0,54.0,57.0,59.0,58.0,57.0,57.0,57.0,56.0,57.0,55.0,55.0,58.0,58.0,58.0,0.0,0.0,0.0
2024-04-25,0.0,3.0,3.0,7.0,6.0,6.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,7.0,6.0,7.0,7.0,8.0,0.0
2024-04-24,0.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,6.0,8.0,9.0,4.0,3.0,3.0,4.0,4.0,7.0,5.0,5.0,8.0,8.0,7.0,8.0,7.0,0.0
2024-04-23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,13.0,14.0,15.0,14.0,14.0,14.0,12.0,13.0,15.0,15.0,16.0,16.0,16.0,16.0,20.0,0.0
2024-04-22,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,6.0,4.0,4.0,0.0,0.0,6.0,6.0,5.0,6.0,12.0,11.0,11.0,11.0,13.0,0.0
