date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-27,0.0,12.0,6.0,6.0,11.0,12.0,9.0,9.0,6.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-26,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0
2024-05-25,0.0,11.0,5.0,5.0,11.0,10.0,8.0,8.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0
2024-05-24,0.0,10.0,2.0,2.0,12.0,14.0,10.0,10.0,7.0,8.0,4.0,4.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0
2024-05-21,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
2024-05-20,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-05-19,0.0,6.0,0.0,0.0,7.0,7.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,7.0,0.0
2024-05-18,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0
2024-05-17,0.0,13.0,10.0,10.0,14.0,14.0,11.0,11.0,7.0,7.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
2024-05-13,0.0,19.0,5.0,5.0,18.0,18.0,16.0,16.0,16.0,18.0,14.0,14.0,9.0,9.0,7.0,7.0,20.0,22.0,7.0,0.0
2024-05-12,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,100.0,100.0,105.0,108.0,100.0,0.0
2024-05-11,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0
2024-05-10,0.0,7.0,2.0,2.0,7.0,7.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-05-09,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0,7.0,8.0,4.0,0.0
2024-05-06,0.0,3.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,0.0
2024-05-04,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-03,0.0,5.0,0.0,0.0,6.0,8.0,3.0,3.0,3.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-04-29,0.0,8.0,2.0,2.0,8.0,8.0,5.0,5.0,19.0,23.0,17.0,17.0,19.0,21.0,14.0,14.0,28.0,28.0,18.0,0.0
2024-04-28,0.0,9.0,3.0,3.0,7.0,7.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-27,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2024-04-22,0.0,4.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
2024-04-21,0.0,4.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2024-04-20,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,9.0,1.0,1.0,12.0,12.0,10.0,10.0,12.0,12.0,0.0,0.0,9.0,9.0,4.0,4.0,2.0,2.0,1.0,0.0
