date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Neumünster.in,Neumünster.out,Kiel_Hbf.in,Kiel_Hbf.out
2024-05-19,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,9.0,8.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,8.0,1.0,1.0,2.0,3.0,4.0,3.0,11.0,11.0,10.0,0.0
2024-05-18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,10.0,27.0,29.0,30.0,31.0,37.0,37.0,47.0,48.0,45.0,47.0,42.0,43.0,38.0,37.0,37.0,41.0,40.0,39.0,52.0,0.0,0.0,0.0
2024-05-17,0.0,6.0,5.0,7.0,5.0,6.0,1.0,2.0,5.0,4.0,8.0,6.0,7.0,12.0,0.0,0.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,47.0,47.0,45.0,45.0,48.0,48.0,47.0,47.0,55.0,55.0,57.0,58.0,54.0,55.0,53.0,53.0,55.0,57.0,57.0,58.0,59.0,60.0,66.0,0.0
2024-05-16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,9.0,14.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,20.0,22.0,20.0,20.0,21.0,21.0,32.0,30.0,30.0,30.0,27.0,28.0,26.0,29.0,23.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,11.0,11.0,9.0,9.0,14.0,14.0,18.0,22.0,19.0,18.0,17.0,20.0,16.0,17.0,18.0,19.0,19.0,21.0,22.0,22.0,46.0,46.0,44.0,0.0
2024-05-14,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,11.0,11.0,12.0,12.0,15.0,16.0,15.0,13.0,11.0,11.0,11.0,12.0,6.0,8.0,5.0,5.0,7.0,8.0,9.0,9.0,7.0,8.0,6.0,0.0
2024-05-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,8.0,12.0,11.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.0,0.0,51.0,51.0,49.0,49.0,49.0,49.0,52.0,51.0,58.0,58.0,56.0,56.0,54.0,71.0,65.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,9.0,11.0,9.0,5.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,25.0,25.0,23.0,24.0,24.0,26.0,25.0,24.0,28.0,27.0,29.0,30.0,28.0,29.0,26.0,27.0,31.0,31.0,33.0,33.0,33.0,33.0,31.0,0.0
2024-05-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,17.0,17.0,14.0,14.0,18.0,20.0,23.0,21.0,25.0,26.0,26.0,27.0,21.0,21.0,18.0,19.0,19.0,23.0,23.0,22.0,22.0,22.0,20.0,0.0
2024-05-09,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,27.0,0.0
2024-05-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,10.0,6.0,6.0,8.0,10.0,14.0,28.0,27.0,28.0,26.0,27.0,28.0,0.0
2024-05-07,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,8.0,3.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,9.0,9.0,7.0,7.0,10.0,11.0,22.0,20.0,24.0,24.0,24.0,26.0,21.0,25.0,24.0,24.0,28.0,29.0,32.0,32.0,39.0,39.0,55.0,0.0
2024-05-06,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,2.0,4.0,8.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,9.0,9.0,7.0,7.0,7.0,8.0,15.0,14.0,19.0,18.0,16.0,18.0,11.0,14.0,17.0,17.0,19.0,19.0,18.0,18.0,25.0,25.0,26.0,0.0
2024-05-05,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,17.0,17.0,15.0,15.0,16.0,16.0,18.0,18.0,20.0,21.0,19.0,19.0,15.0,16.0,13.0,12.0,18.0,20.0,19.0,20.0,20.0,21.0,19.0,0.0
2024-05-04,0.0,1.0,1.0,2.0,0.0,0.0,2.0,10.0,7.0,6.0,3.0,2.0,3.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,24.0,25.0,23.0,22.0,27.0,28.0,28.0,26.0,35.0,34.0,32.0,33.0,34.0,35.0,35.0,35.0,37.0,37.0,41.0,41.0,39.0,39.0,40.0,0.0
2024-05-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,9.0,4.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,8.0,8.0,9.0,9.0,9.0,9.0,13.0,11.0,14.0,14.0,13.0,18.0,39.0,40.0,37.0,38.0,39.0,42.0,41.0,42.0,43.0,43.0,49.0,0.0
