date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-18,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,7.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,5.0,5.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,32.0,34.0,35.0,30.0,37.0,36.0,26.0,27.0,23.0,24.0,25.0,23.0,24.0,0.0
2024-05-17,0.0,0.0,1.0,1.0,1.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,41.0,42.0,45.0,40.0,40.0,39.0,43.0,43.0,43.0,45.0,42.0,43.0,43.0,0.0
2024-05-16,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,1.0,2.0,3.0,7.0,7.0,7.0,7.0,2.0,2.0,0.0,1.0,3.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,3.0,3.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,18.0,21.0,23.0,18.0,17.0,24.0,9.0,9.0,11.0,13.0,10.0,10.0,10.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,10.0,8.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,18.0,18.0,18.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,23.0,27.0,29.0,26.0,24.0,24.0,15.0,16.0,13.0,14.0,11.0,11.0,12.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,5.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,6.0,4.0,6.0,7.0,8.0,5.0,6.0,3.0,5.0,2.0,2.0,2.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,144.0,0.0,0.0,0.0,0.0,150.0,150.0,150.0,149.0,152.0,158.0,158.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,161.0,161.0,162.0,176.0,171.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0
2024-05-11,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,14.0,14.0,18.0,15.0,12.0,11.0,8.0,8.0,34.0,34.0,32.0,32.0,32.0,0.0
2024-05-10,0.0,0.0,2.0,2.0,0.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,3.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,10.0,12.0,11.0,6.0,4.0,3.0,3.0,2.0,8.0,8.0,5.0,5.0,4.0,0.0
2024-05-09,0.0,1.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,3.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,5.0,4.0,7.0,5.0,7.0,4.0,5.0,3.0,3.0,9.0,9.0,9.0,0.0
2024-05-08,0.0,1.0,2.0,3.0,9.0,9.0,13.0,14.0,10.0,10.0,6.0,7.0,6.0,6.0,15.0,13.0,0.0,0.0,0.0,0.0,15.0,16.0,13.0,13.0,12.0,12.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,14.0,15.0,16.0,12.0,11.0,10.0,8.0,8.0,10.0,11.0,9.0,9.0,8.0,0.0
2024-05-07,0.0,1.0,4.0,4.0,4.0,4.0,6.0,8.0,5.0,5.0,0.0,0.0,1.0,2.0,18.0,17.0,0.0,0.0,0.0,0.0,18.0,18.0,17.0,16.0,17.0,18.0,22.0,23.0,0.0,0.0,17.0,19.0,0.0,17.0,0.0,0.0,21.0,22.0,26.0,20.0,18.0,18.0,3.0,3.0,3.0,4.0,1.0,1.0,5.0,0.0
2024-05-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,11.0,12.0,11.0,6.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0
2024-05-05,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,8.0,8.0,11.0,9.0,0.0,0.0,0.0,0.0,11.0,11.0,8.0,8.0,14.0,26.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.0,35.0,37.0,40.0,36.0,35.0,34.0,26.0,27.0,28.0,27.0,25.0,24.0,24.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,29.0,30.0,33.0,28.0,29.0,33.0,19.0,20.0,20.0,19.0,16.0,17.0,16.0,0.0
2024-05-03,0.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,27.0,27.0,28.0,29.0,27.0,26.0,0.0,0.0,0.0,0.0,29.0,29.0,30.0,29.0,28.0,29.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,47.0,93.0,94.0,98.0,95.0,92.0,91.0,82.0,83.0,87.0,0.0,0.0,87.0,0.0,0.0
