date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,7.0,2.0,6.0,5.0,2.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0
2024-04-19,0.0,2.0,1.0,1.0,0.0,2.0,2.0,10.0,4.0,5.0,1.0,1.0,1.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,11.0,19.0,22.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,24.0,26.0,28.0,23.0,23.0,22.0,12.0,12.0,10.0,23.0,46.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,6.0,0.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,21.0,20.0,19.0,19.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,21.0,22.0,29.0,24.0,25.0,28.0,18.0,19.0,22.0,24.0,28.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0,10.0,14.0,15.0,17.0,18.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,32.0,50.0,55.0,52.0,53.0,52.0,48.0,48.0,55.0,55.0,58.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,6.0,11.0,13.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,18.0,19.0,23.0,18.0,18.0,17.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,3.0,3.0,2.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,7.0,8.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,11.0,13.0,18.0,14.0,13.0,12.0,7.0,6.0,6.0,9.0,7.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,18.0,19.0,21.0,16.0,20.0,19.0,12.0,12.0,13.0,13.0,15.0,0.0,0.0,0.0
2024-04-13,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,9.0,7.0,8.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,27.0,28.0,27.0,23.0,21.0,20.0,13.0,14.0,12.0,13.0,21.0,20.0,20.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,19.0,22.0,21.0,21.0,21.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,24.0,25.0,31.0,26.0,29.0,28.0,18.0,18.0,14.0,14.0,11.0,13.0,12.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,6.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,13.0,15.0,15.0,10.0,7.0,9.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,3.0,4.0,2.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,8.0,14.0,9.0,7.0,8.0,8.0,9.0,6.0,7.0,4.0,4.0,4.0,0.0
2024-04-09,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,7.0,4.0,4.0,3.0,5.0,8.0,11.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,19.0,21.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,47.0,45.0,46.0,46.0,41.0,41.0,40.0,28.0,28.0,26.0,25.0,24.0,24.0,23.0,0.0
2024-04-07,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,18.0,30.0,29.0,24.0,28.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,8.0,0.0
