date,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out,Deezbüll.in,Deezbüll.out,Maasbüll(b_Niebüll).in,Maasbüll(b_Niebüll).out,Dagebüll_Kirche.in,Dagebüll_Kirche.out,Dagebüll_Mole.in,Dagebüll_Mole.out
2024-05-29,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,4.0,0.0,1.0,4.0,12.0,12.0,11.0,9.0,1.0,5.0,6.0,7.0,3.0,9.0,9.0,9.0,9.0,12.0,13.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-05-28,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,9.0,9.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,6.0,6.0,8.0,3.0,3.0,3.0,12.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,0.0
2024-05-27,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,4.0,5.0,5.0,2.0,0.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,0.0
2024-05-26,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0,26.0,24.0,23.0,25.0,27.0,27.0,27.0,23.0,14.0,17.0,18.0,18.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,1.0,20.0,9.0,11.0,13.0,13.0,13.0,13.0,8.0,2.0,7.0,11.0,11.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-05-24,0.0,0.0,0.0,2.0,2.0,4.0,3.0,5.0,5.0,5.0,0.0,0.0,9.0,17.0,4.0,4.0,7.0,9.0,9.0,10.0,9.0,5.0,12.0,12.0,14.0,12.0,11.0,11.0,7.0,7.0,8.0,8.0,8.0,11.0,8.0,11.0,11.0,0.0
2024-05-23,0.0,0.0,0.0,2.0,2.0,4.0,4.0,8.0,7.0,8.0,0.0,0.0,17.0,19.0,1.0,1.0,2.0,5.0,4.0,8.0,6.0,3.0,5.0,6.0,7.0,3.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,3.0,0.0
2024-05-22,0.0,0.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,0.0,0.0,12.0,15.0,15.0,16.0,19.0,20.0,20.0,21.0,21.0,11.0,17.0,18.0,20.0,16.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,18.0,0.0
2024-05-21,0.0,0.0,0.0,1.0,7.0,10.0,9.0,10.0,9.0,10.0,0.0,0.0,8.0,10.0,3.0,3.0,3.0,6.0,7.0,7.0,12.0,8.0,20.0,23.0,25.0,21.0,31.0,31.0,34.0,35.0,34.0,35.0,31.0,31.0,31.0,31.0,34.0,0.0
2024-05-20,0.0,0.0,0.0,6.0,6.0,7.0,8.0,8.0,8.0,9.0,0.0,0.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,7.0,9.0,12.0,14.0,14.0,13.0,20.0,20.0,20.0,20.0,23.0,24.0,20.0,20.0,20.0,0.0
