date,Dortmund_Hbf.in,Dortmund_Hbf.out,Witten_Hbf.in,Witten_Hbf.out,Letmathe.in,Letmathe.out,Altena(Westf).in,Altena(Westf).out,Werdohl.in,Werdohl.out,Plettenberg.in,Plettenberg.out,Finnentrop.in,Finnentrop.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Kreuztal.in,Kreuztal.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Siegen.in,Siegen.out,Dillenburg.in,Dillenburg.out,Wetzlar.in,Wetzlar.out,Bad_Nauheim.in,Bad_Nauheim.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-11,0.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
2024-05-10,0.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,1.0,0.0
2024-05-09,0.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,9.0,9.0,11.0,11.0,10.0,9.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,1.0,0.0
2024-05-08,0.0,6.0,5.0,5.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,14.0,14.0,13.0,9.0,13.0,14.0,14.0,14.0,13.0,13.0,11.0,12.0,8.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,14.0,14.0,13.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,15.0,18.0,17.0,17.0,16.0,15.0,14.0,13.0,12.0,12.0,8.0,0.0
2024-05-05,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,0.0,0.0
2024-05-03,0.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-05-02,0.0,1.0,1.0,0.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,15.0,15.0,15.0,15.0,14.0,22.0,21.0,21.0,25.0,25.0,25.0,25.0,24.0,24.0,21.0,0.0
