date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-05-13,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0
2024-05-12,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,10.0,10.0,14.0,14.0,13.0,14.0,21.0,26.0,26.0,26.0,25.0,25.0,24.0,28.0,28.0,26.0,24.0,0.0
2024-05-11,0.0,0.0,2.0,0.0,0.0,1.0,7.0,9.0,7.0,7.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,0.0
2024-05-10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,21.0,23.0,23.0,23.0,21.0,14.0,14.0,15.0,14.0,18.0,17.0,17.0,16.0,14.0,13.0,0.0
2024-05-09,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0
2024-05-08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
2024-05-07,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
2024-05-06,0.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,0.0,0.0,1.0,6.0,7.0,6.0,4.0,4.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-05-05,0.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-05-04,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,6.0,4.0,2.0,0.0
2024-05-03,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,9.0,8.0,8.0,7.0,7.0,6.0,4.0,2.0,2.0,3.0,8.0,8.0,7.0,7.0,8.0,5.0,4.0,0.0
2024-05-02,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,58.0,43.0,41.0,42.0,40.0,40.0,54.0,55.0,55.0,54.0,54.0,54.0,52.0,45.0,59.0,59.0,59.0,59.0,59.0,62.0,82.0,79.0,85.0,0.0
