date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,0.0,0.0,16.0,16.0,17.0,16.0,15.0,5.0,8.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,10.0,0.0
2024-05-29,0.0,0.0,0.0,8.0,7.0,6.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
2024-05-28,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
2024-05-27,0.0,0.0,0.0,6.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0
2024-05-26,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,6.0,8.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,0.0
2024-05-25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0
2024-05-24,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0
2024-05-23,0.0,0.0,0.0,3.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,13.0,14.0,11.0,12.0,14.0,17.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0,17.0,0.0,0.0,13.0,0.0
2024-05-22,0.0,0.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,6.0,65.0,64.0,63.0,63.0,0.0,0.0,0.0,0.0,72.0,71.0,0.0,0.0,71.0,71.0,74.0,75.0,80.0,79.0,79.0,78.0,78.0,77.0,77.0,76.0,76.0,74.0,0.0,0.0,70.0,0.0
2024-05-21,0.0,0.0,0.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,8.0,0.0,0.0,6.0,0.0
2024-05-20,0.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,6.0,7.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-19,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0
2024-05-18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-16,0.0,0.0,0.0,10.0,9.0,15.0,11.0,14.0,5.0,6.0,8.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,7.0,9.0,3.0,10.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
