date,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Wabern(Bz_Kassel).in,Wabern(Bz_Kassel).out,Treysa.in,Treysa.out,Marburg(Lahn).in,Marburg(Lahn).out,Marburg_Hbf.in,Marburg_Hbf.out,Gießen.in,Gießen.out,Friedberg(Hess).in,Friedberg(Hess).out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Darmstadt_Hbf_ZOB.in,Darmstadt_Hbf_ZOB.out,Bensheim.in,Bensheim.out,Weinheim_Hbf.in,Weinheim_Hbf.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Bruchsal.in,Bruchsal.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-30,0.0,39.0,45.0,45.0,13.0,12.0,1.0,1.0,2.0,2.0,10.0,11.0,0.0,0.0,8.0,8.0,10.0,10.0,6.0,6.0,7.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,9.0,8.0,9.0,8.0,8.0,9.0,5.0,0.0
2024-05-29,0.0,41.0,42.0,42.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,11.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,11.0,12.0,8.0,0.0
2024-05-28,0.0,38.0,44.0,44.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0
2024-05-27,0.0,39.0,45.0,46.0,3.0,4.0,5.0,5.0,5.0,6.0,24.0,25.0,0.0,0.0,21.0,22.0,22.0,23.0,19.0,20.0,19.0,15.0,15.0,15.0,0.0,0.0,13.0,12.0,12.0,12.0,15.0,14.0,13.0,13.0,13.0,13.0,11.0,11.0,7.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,2.0,3.0,1.0,0.0,10.0,7.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,10.0,4.0,5.0,7.0,7.0,13.0,14.0,12.0,13.0,8.0,9.0,0.0,0.0,24.0,29.0,32.0,34.0,32.0,33.0,32.0,28.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,24.0,25.0,24.0,24.0,23.0,23.0,25.0,23.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,10.0,6.0,6.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0
2024-05-22,0.0,3.0,1.0,5.0,25.0,23.0,40.0,40.0,40.0,40.0,35.0,36.0,0.0,0.0,36.0,38.0,36.0,36.0,32.0,32.0,31.0,28.0,44.0,43.0,44.0,0.0,45.0,44.0,44.0,44.0,45.0,43.0,46.0,45.0,45.0,45.0,50.0,50.0,46.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,4.0,6.0,5.0,6.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,7.0,7.0,6.0,6.0,2.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,6.0,3.0,4.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,7.0,0.0,1.0,6.0,5.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,30.0,31.0,30.0,30.0,26.0,27.0,25.0,22.0,22.0,22.0,0.0,21.0,21.0,19.0,20.0,20.0,19.0,19.0,22.0,21.0,22.0,21.0,20.0,20.0,30.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
