date,Dagebüll_Mole.in,Dagebüll_Mole.out,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Dortmund_Hbf.in,Dortmund_Hbf.out,Itzehoe.in,Itzehoe.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-15,0.0,0.0,0.0,0.0,0.0,16.0,16.0,15.0,18.0,18.0,0.0,0.0,15.0,19.0,20.0,20.0,0.0,0.0,17.0,31.0,24.0,25.0,23.0,23.0,27.0,27.0,31.0,31.0,30.0,30.0,28.0,28.0,27.0,26.0,0.0,0.0,25.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,25.0,27.0,0.0,0.0,28.0,27.0,19.0,22.0,0.0,0.0,18.0,18.0,11.0,12.0,10.0,10.0,9.0,8.0,10.0,9.0,7.0,6.0,6.0,6.0,4.0,5.0,0.0,0.0,5.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,21.0,28.0,29.0,31.0,31.0,0.0,0.0,28.0,26.0,16.0,17.0,0.0,0.0,8.0,9.0,16.0,18.0,16.0,18.0,15.0,15.0,16.0,18.0,14.0,14.0,12.0,13.0,11.0,10.0,0.0,0.0,6.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,26.0,34.0,34.0,38.0,38.0,0.0,0.0,41.0,41.0,37.0,35.0,0.0,0.0,29.0,29.0,23.0,24.0,22.0,22.0,21.0,21.0,21.0,21.0,19.0,18.0,17.0,18.0,16.0,16.0,0.0,0.0,28.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,43.0,44.0,38.0,36.0,0.0,0.0,34.0,34.0,27.0,28.0,24.0,25.0,24.0,24.0,28.0,28.0,26.0,26.0,25.0,25.0,23.0,24.0,0.0,0.0,21.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,8.0,9.0,7.0,8.0,8.0,0.0,0.0,10.0,14.0,11.0,12.0,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,6.0,6.0,0.0,0.0,8.0,11.0,15.0,27.0,0.0,0.0,53.0,54.0,51.0,53.0,51.0,51.0,51.0,51.0,52.0,51.0,50.0,50.0,49.0,49.0,51.0,51.0,0.0,0.0,70.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,14.0,28.0,26.0,26.0,26.0,0.0,0.0,25.0,27.0,20.0,21.0,0.0,0.0,12.0,22.0,15.0,17.0,16.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,0.0,0.0,11.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,8.0,7.0,5.0,4.0,5.0,0.0,0.0,6.0,15.0,21.0,21.0,0.0,0.0,14.0,15.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0,10.0,0.0,0.0,3.0,0.0
