date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-11,0.0,7.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
2024-05-10,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,8.0,4.0,12.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,26.0,25.0,24.0,24.0,26.0,25.0,25.0,24.0,0.0,0.0,22.0,0.0
2024-05-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,14.0,15.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,15.0,15.0,14.0,15.0,14.0,15.0,17.0,20.0,0.0,0.0,20.0,0.0
2024-05-08,0.0,1.0,2.0,3.0,2.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,10.0,11.0,11.0,11.0,12.0,13.0,17.0,17.0,0.0,0.0,17.0,0.0
2024-05-07,0.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,7.0,6.0,5.0,4.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,2.0,17.0,18.0,17.0,16.0,16.0,17.0,12.0,12.0,6.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,12.0,12.0,11.0,10.0,12.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,1.0,2.0,2.0,0.0,4.0,3.0,8.0,10.0,10.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,14.0,13.0,0.0,0.0,13.0,0.0
2024-05-04,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,9.0,8.0,7.0,7.0,6.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,1.0,4.0,3.0,0.0,4.0,2.0,2.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,32.0,36.0,36.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,42.0,41.0,39.0,38.0,39.0,39.0,38.0,40.0,0.0,0.0,40.0,0.0
