date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Friedberg(Hess).in,Friedberg(Hess).out,Bad_Nauheim.in,Bad_Nauheim.out,Wetzlar.in,Wetzlar.out,Dillenburg.in,Dillenburg.out,Siegen.in,Siegen.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Kreuztal.in,Kreuztal.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Finnentrop.in,Finnentrop.out,Plettenberg.in,Plettenberg.out,Werdohl.in,Werdohl.out,Altena(Westf).in,Altena(Westf).out,Letmathe.in,Letmathe.out,Witten_Hbf.in,Witten_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,11.0,12.0,12.0,0.0,0.0,10.0,11.0,22.0,22.0,21.0,21.0,19.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,20.0,19.0,19.0,19.0,19.0,19.0,18.0,20.0,19.0,20.0,0.0
2024-05-28,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,16.0,15.0,17.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,9.0,0.0
2024-05-25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,10.0,0.0
2024-05-24,0.0,2.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,6.0,0.0
2024-05-23,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0
2024-05-22,0.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,15.0,16.0,17.0,17.0,16.0,17.0,17.0,17.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,13.0,12.0,14.0,0.0
2024-05-21,0.0,1.0,2.0,2.0,0.0,0.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,4.0,7.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,0.0,1.0,0.0
2024-05-20,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
2024-05-19,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,0.0
2024-05-18,0.0,4.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,3.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,0.0
2024-05-17,0.0,1.0,2.0,3.0,0.0,0.0,7.0,7.0,7.0,7.0,13.0,14.0,13.0,9.0,13.0,13.0,12.0,12.0,11.0,11.0,19.0,20.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,20.0,20.0,19.0,24.0,24.0,25.0,0.0
2024-05-16,0.0,1.0,3.0,4.0,0.0,0.0,6.0,6.0,8.0,8.0,66.0,75.0,80.0,79.0,80.0,79.0,78.0,77.0,76.0,76.0,77.0,77.0,78.0,78.0,77.0,77.0,77.0,77.0,77.0,77.0,80.0,79.0,81.0,80.0,81.0,0.0
2024-05-15,0.0,1.0,1.0,1.0,0.0,0.0,18.0,20.0,25.0,25.0,24.0,24.0,26.0,22.0,26.0,26.0,25.0,25.0,24.0,24.0,24.0,24.0,26.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,23.0,23.0,25.0,0.0
2024-05-14,0.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,2.0,2.0,6.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,6.0,11.0,14.0,15.0,15.0,16.0,17.0,16.0,16.0,24.0,24.0,22.0,21.0,27.0,0.0
2024-05-13,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,8.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0
2024-05-10,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,7.0,11.0,11.0,11.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,50.0,50.0,50.0,53.0,52.0,54.0,0.0
2024-05-09,0.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,4.0,4.0,0.0
2024-05-08,0.0,4.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,9.0,0.0
