date,Passau_Hbf.in,Passau_Hbf.out,Plattling.in,Plattling.out,Straubing.in,Straubing.out,Regensburg_Hbf.in,Regensburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,26.0,26.0,22.0,21.0,23.0,22.0,26.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,1.0,5.0,4.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,65.0,67.0,64.0,63.0,65.0,65.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,6.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,32.0,33.0,34.0,34.0,36.0,36.0,36.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,45.0,45.0,52.0,52.0,53.0,53.0,58.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,16.0,16.0,16.0,15.0,13.0,15.0,10.0,11.0,0.0,0.0,0.0,0.0,13.0,13.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,48.0,49.0,52.0,51.0,51.0,54.0,53.0,52.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,8.0,7.0,20.0,14.0,13.0,14.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,10.0,9.0,12.0,13.0,12.0,12.0,17.0,20.0,20.0,0.0,0.0,0.0,0.0,24.0,24.0,29.0,29.0,29.0,29.0,32.0,33.0,33.0,35.0,0.0,0.0,52.0,54.0,45.0,45.0,47.0,47.0,43.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,0.0,0.0,34.0,34.0,23.0,23.0,25.0,25.0,22.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,3.0,3.0,4.0,5.0,0.0,2.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,6.0,6.0,61.0,60.0,65.0,65.0,69.0,0.0
2024-05-21,0.0,3.0,0.0,1.0,0.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,6.0,0.0,0.0,7.0,8.0,1.0,1.0,3.0,3.0,5.0,0.0
