date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-04,0.0,1.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-05-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
2024-05-02,0.0,0.0,1.0,1.0,3.0,2.0,9.0,9.0,11.0,12.0,13.0,15.0,20.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,14.0,0.0
2024-05-01,0.0,0.0,4.0,2.0,1.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2024-04-30,0.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,5.0,5.0,2.0,3.0,4.0,5.0,0.0,0.0,6.0,3.0,0.0,0.0,28.0,0.0
2024-04-29,0.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0
2024-04-28,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,63.0,65.0,66.0,47.0,0.0,0.0,41.0,41.0,0.0,0.0,46.0,0.0
2024-04-27,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,39.0,40.0,44.0,46.0,51.0,40.0,0.0,0.0,46.0,45.0,0.0,0.0,60.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,8.0,5.0,6.0,9.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,16.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,0.0,8.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,7.0,6.0,8.0,10.0,8.0,0.0,0.0,15.0,0.0
2024-04-23,0.0,11.0,0.0,0.0,28.0,34.0,39.0,35.0,38.0,38.0,42.0,43.0,41.0,22.0,22.0,42.0,44.0,64.0,0.0,0.0,82.0,0.0
2024-04-22,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,7.0,8.0,9.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,5.0,0.0
2024-04-21,0.0,0.0,5.0,2.0,0.0,0.0,17.0,13.0,42.0,42.0,59.0,59.0,61.0,41.0,37.0,37.0,37.0,35.0,0.0,0.0,39.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,11.0,12.0,15.0,31.0,33.0,14.0,0.0,0.0,13.0,12.0,0.0,0.0,19.0,0.0
2024-04-18,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0
2024-04-17,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,65.0,75.0,0.0,0.0,79.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
