date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Neustadt(Weinstr)Hbf.in,Neustadt(Weinstr)Hbf.out,Kaiserslautern_Hbf.in,Kaiserslautern_Hbf.out,Homburg(Saar)Hbf.in,Homburg(Saar)Hbf.out,Saarbrücken_Hbf.in,Saarbrücken_Hbf.out
2024-05-30,0.0,7.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0
2024-05-29,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,6.0,7.0,9.0,9.0,7.0,0.0
2024-05-28,0.0,2.0,0.0,1.0,0.0,0.0,36.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,7.0,12.0,12.0,10.0,9.0,9.0,9.0,8.0,7.0,4.0,0.0
2024-05-22,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,9.0,12.0,14.0,9.0,8.0,7.0,7.0,6.0,6.0,2.0,0.0
2024-05-21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,4.0,1.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,2.0,3.0,4.0,3.0,4.0,6.0,6.0,7.0,6.0,4.0,0.0
2024-05-15,0.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,7.0,7.0,6.0,0.0
2024-05-14,0.0,10.0,0.0,11.0,7.0,6.0,4.0,5.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,0.0
2024-05-13,0.0,18.0,21.0,21.0,23.0,23.0,26.0,25.0,0.0,0.0,24.0,26.0,26.0,26.0,22.0,22.0,21.0,21.0,22.0,21.0,17.0,0.0
2024-05-12,0.0,0.0,0.0,2.0,6.0,14.0,11.0,10.0,0.0,0.0,7.0,10.0,8.0,8.0,6.0,5.0,8.0,8.0,11.0,10.0,8.0,0.0
2024-05-11,0.0,3.0,1.0,2.0,6.0,6.0,7.0,7.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0
2024-05-10,0.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0
2024-05-09,0.0,2.0,0.0,1.0,6.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
2024-05-08,0.0,1.0,0.0,1.0,0.0,1.0,8.0,7.0,0.0,0.0,11.0,10.0,6.0,8.0,8.0,10.0,9.0,8.0,7.0,7.0,4.0,0.0
2024-05-07,0.0,3.0,2.0,2.0,2.0,2.0,11.0,11.0,0.0,0.0,6.0,7.0,4.0,4.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0
2024-05-06,0.0,1.0,0.0,0.0,2.0,3.0,8.0,7.0,0.0,0.0,7.0,6.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,0.0
2024-05-05,0.0,0.0,0.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,4.0,3.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2024-05-04,0.0,4.0,4.0,4.0,9.0,9.0,12.0,13.0,0.0,0.0,13.0,12.0,8.0,11.0,6.0,5.0,6.0,6.0,5.0,4.0,3.0,0.0
2024-05-03,0.0,1.0,0.0,0.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0
2024-05-02,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,9.0,8.0,8.0,4.0,3.0,5.0,5.0,2.0,1.0,0.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,5.0,5.0,7.0,7.0,4.0,0.0
2024-04-26,0.0,14.0,0.0,13.0,13.0,13.0,15.0,15.0,0.0,0.0,19.0,21.0,21.0,22.0,18.0,17.0,17.0,16.0,16.0,17.0,15.0,0.0
2024-04-25,0.0,10.0,8.0,9.0,6.0,6.0,3.0,3.0,0.0,0.0,4.0,4.0,22.0,27.0,22.0,21.0,20.0,20.0,21.0,21.0,18.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,6.0,5.0,5.0,10.0,9.0,7.0,9.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,10.0,8.0,7.0,4.0,0.0
2024-04-22,0.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,8.0,7.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0
2024-04-20,0.0,1.0,0.0,1.0,8.0,7.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0
2024-04-19,0.0,1.0,0.0,0.0,13.0,13.0,15.0,15.0,0.0,0.0,13.0,12.0,7.0,8.0,6.0,7.0,6.0,5.0,3.0,2.0,1.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0
2024-04-17,0.0,1.0,0.0,0.0,6.0,6.0,7.0,7.0,0.0,0.0,5.0,4.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
2024-04-16,0.0,1.0,0.0,0.0,7.0,7.0,5.0,5.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
2024-04-15,0.0,2.0,4.0,5.0,6.0,7.0,8.0,8.0,0.0,0.0,3.0,2.0,5.0,7.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0
2024-04-14,0.0,11.0,9.0,10.0,20.0,20.0,21.0,21.0,0.0,0.0,18.0,17.0,21.0,22.0,19.0,19.0,17.0,17.0,21.0,20.0,17.0,0.0
2024-04-13,0.0,2.0,0.0,1.0,12.0,11.0,7.0,6.0,0.0,0.0,6.0,8.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,4.0,4.0,6.0,5.0,7.0,7.0,9.0,9.0,8.0,0.0
2024-04-09,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0
