date,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Bützow.in,Bützow.out,Rostock_Hbf.in,Rostock_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Velgast.in,Velgast.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out
2024-04-23,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-04-22,0.0,4.0,0.0,0.0,10.0,10.0,7.0,6.0,4.0,17.0,18.0,17.0,20.0,21.0,21.0,21.0,22.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
2024-04-19,0.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
2024-04-18,0.0,24.0,0.0,0.0,22.0,22.0,18.0,21.0,24.0,25.0,24.0,23.0,24.0,24.0,21.0,22.0,22.0,0.0
2024-04-17,0.0,9.0,0.0,0.0,8.0,8.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,11.0,0.0,0.0,13.0,13.0,8.0,8.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,7.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-09,0.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
2024-04-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2024-04-07,0.0,16.0,0.0,0.0,14.0,15.0,15.0,14.0,12.0,10.0,17.0,15.0,19.0,20.0,17.0,16.0,17.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,3.0,4.0,7.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,10.0,0.0,0.0,7.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,6.0,5.0,3.0,2.0,1.0,4.0,4.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-02,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2024-04-01,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0
