date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Lichtenfels.in,Lichtenfels.out,Kronach.in,Kronach.out,Ludwigsstadt.in,Ludwigsstadt.out,Saalfeld(Saale).in,Saalfeld(Saale).out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Jena-Göschwitz.in,Jena-Göschwitz.out,Jena_Paradies.in,Jena_Paradies.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Weißenfels.in,Weißenfels.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,13.0,13.0,11.0,11.0,11.0,9.0,6.0,6.0,7.0,7.0,5.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,6.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,21.0,22.0,22.0,22.0,22.0,25.0,26.0,26.0,26.0,26.0,25.0,25.0,23.0,23.0,19.0,18.0,17.0,17.0,17.0,17.0,19.0,19.0,16.0,16.0,16.0,16.0,16.0,0.0
2024-04-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,7.0,9.0,8.0,8.0,8.0,7.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,2.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,16.0,16.0,11.0,10.0,8.0,8.0,11.0,10.0,9.0,8.0,6.0,6.0,6.0,6.0,4.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,8.0,14.0,20.0,20.0,18.0,18.0,23.0,24.0,23.0,22.0,22.0,22.0,20.0,23.0,23.0,23.0,24.0,24.0,21.0,22.0,24.0,24.0,23.0,22.0,20.0,19.0,18.0,18.0,18.0,18.0,19.0,18.0,16.0,16.0,16.0,15.0,17.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,5.0,7.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2024-04-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,12.0,11.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,14.0,11.0,18.0,20.0,22.0,25.0,25.0,22.0,21.0,26.0,25.0,25.0,24.0,22.0,22.0,20.0,20.0,18.0,19.0,19.0,19.0,20.0,19.0,19.0,18.0,16.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,13.0,14.0,14.0,27.0,27.0,34.0,34.0,34.0,34.0,36.0,36.0,34.0,33.0,32.0,32.0,31.0,31.0,30.0,29.0,28.0,28.0,29.0,29.0,32.0,0.0
