date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-29,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,3.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,10.0,13.0,0.0
2024-04-26,0.0,1.0,35.0,36.0,36.0,36.0,50.0,51.0,51.0,45.0,44.0,46.0,45.0,44.0,42.0,43.0,41.0,40.0,41.0,0.0
2024-04-25,0.0,1.0,0.0,0.0,1.0,2.0,5.0,4.0,8.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,10.0,10.0,8.0,0.0
2024-04-24,0.0,1.0,1.0,1.0,4.0,1.0,6.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,12.0,24.0,26.0,24.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2024-04-21,0.0,18.0,15.0,14.0,15.0,14.0,8.0,7.0,6.0,8.0,8.0,8.0,2.0,2.0,1.0,9.0,7.0,7.0,4.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,7.0,7.0,5.0,6.0,3.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,0.0,0.0
2024-04-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,23.0,25.0,34.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,5.0,14.0,14.0,14.0,0.0
2024-04-13,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,6.0,8.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,31.0,31.0,44.0,0.0
2024-04-10,0.0,11.0,9.0,9.0,12.0,9.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0
2024-04-09,0.0,1.0,0.0,0.0,4.0,1.0,16.0,15.0,16.0,10.0,10.0,11.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-04-07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,0.0
2024-04-06,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0
2024-04-05,0.0,2.0,3.0,2.0,0.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,7.0,6.0,4.0,3.0,2.0,0.0
2024-04-04,0.0,4.0,14.0,14.0,15.0,15.0,10.0,10.0,9.0,4.0,3.0,4.0,3.0,5.0,10.0,9.0,16.0,16.0,13.0,0.0
2024-04-03,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0
2024-04-02,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
