date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Büchen.in,Büchen.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
2024-05-03,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,0.0
2024-05-02,0.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,6.0,6.0,4.0,4.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0
2024-05-01,0.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,5.0,6.0,0.0
2024-04-30,0.0,1.0,6.0,6.0,6.0,7.0,10.0,10.0,6.0,6.0,4.0,5.0,8.0,7.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-29,0.0,12.0,23.0,23.0,25.0,26.0,27.0,28.0,21.0,21.0,18.0,18.0,14.0,13.0,11.0,9.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-28,0.0,2.0,17.0,17.0,19.0,19.0,21.0,21.0,16.0,17.0,9.0,7.0,7.0,6.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
2024-04-27,0.0,4.0,5.0,3.0,6.0,6.0,6.0,6.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,0.0
2024-04-26,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,9.0,8.0,8.0,11.0,11.0,4.0,19.0,0.0,19.0,0.0,0.0
2024-04-25,0.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,6.0,0.0
2024-04-24,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,4.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,12.0,12.0,14.0,0.0
2024-04-23,0.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,10.0,11.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,8.0,12.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0
2024-04-21,0.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,9.0,8.0,12.0,14.0,16.0,25.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,37.0,37.0,43.0,0.0
2024-04-20,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,13.0,12.0,10.0,11.0,11.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,6.0,13.0,0.0
2024-04-19,0.0,0.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,6.0,6.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-04-16,0.0,1.0,3.0,11.0,14.0,14.0,14.0,13.0,12.0,14.0,7.0,8.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2024-04-14,0.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,5.0,5.0,0.0
2024-04-13,0.0,2.0,0.0,2.0,4.0,4.0,4.0,8.0,3.0,4.0,47.0,48.0,53.0,53.0,51.0,51.0,51.0,52.0,52.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,0.0
