date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-13,0.0,11.0,5.0,12.0,8.0,12.0,6.0,7.0,7.0,8.0,0.0,0.0,10.0,11.0,15.0,17.0,0.0,0.0,0.0,0.0,20.0,20.0,24.0,23.0,23.0,0.0
2024-05-12,0.0,12.0,5.0,13.0,13.0,13.0,9.0,10.0,5.0,6.0,0.0,0.0,27.0,28.0,28.0,37.0,0.0,0.0,0.0,0.0,43.0,43.0,50.0,50.0,48.0,0.0
2024-05-11,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,8.0,8.0,10.0,0.0,0.0,0.0,0.0,11.0,11.0,12.0,11.0,7.0,0.0
2024-05-10,0.0,10.0,0.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0,0.0,0.0,4.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,11.0,13.0,0.0
2024-05-09,0.0,1.0,1.0,14.0,10.0,16.0,0.0,0.0,165.0,164.0,0.0,0.0,164.0,170.0,168.0,250.0,249.0,249.0,0.0,0.0,247.0,247.0,247.0,247.0,247.0,0.0
2024-05-08,0.0,1.0,1.0,5.0,5.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,5.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,19.0,19.0,21.0,21.0,28.0,0.0
2024-05-07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,12.0,12.0,16.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,47.0,47.0,51.0,52.0,60.0,0.0
2024-05-05,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,18.0,22.0,0.0
2024-05-04,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,13.0,14.0,15.0,0.0
2024-05-03,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,14.0,13.0,17.0,18.0,21.0,0.0
2024-05-02,0.0,26.0,26.0,25.0,25.0,30.0,39.0,43.0,40.0,43.0,45.0,55.0,0.0,0.0,49.0,53.0,0.0,0.0,0.0,0.0,77.0,77.0,85.0,85.0,88.0,0.0
2024-05-01,0.0,1.0,1.0,1.0,0.0,2.0,4.0,5.0,1.0,4.0,0.0,0.0,5.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,8.0,8.0,19.0,20.0,24.0,0.0
2024-04-30,0.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,13.0,0.0,0.0,0.0,0.0,16.0,15.0,19.0,19.0,28.0,0.0
2024-04-29,0.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,20.0,21.0,21.0,31.0,0.0,0.0,0.0,0.0,21.0,21.0,24.0,23.0,25.0,0.0
2024-04-28,0.0,10.0,0.0,8.0,8.0,11.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,9.0,11.0,19.0,19.0,23.0,0.0
2024-04-27,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,9.0,15.0,14.0,17.0,0.0
2024-04-26,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,5.0,0.0
2024-04-25,0.0,1.0,0.0,6.0,4.0,6.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,10.0,10.0,23.0,22.0,20.0,0.0
2024-04-24,0.0,14.0,0.0,12.0,0.0,10.0,5.0,5.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,29.0,27.0,28.0,0.0
