date,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Osterholz-Scharmbeck.in,Osterholz-Scharmbeck.out,Osterholz-Scharmbeck(Bahn).in,Osterholz-Scharmbeck(Bahn).out,Bremerhaven_Hbf.in,Bremerhaven_Hbf.out,Bremerhaven-Lehe.in,Bremerhaven-Lehe.out
2024-05-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,8.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,3.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0
2024-04-30,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,36.0,45.0,46.0,46.0,48.0,49.0,53.0,52.0,55.0,54.0,54.0,54.0,53.0,54.0,53.0,53.0,53.0,53.0,54.0,54.0,79.0,80.0,82.0,81.0,78.0,71.0,69.0,68.0,0.0,0.0,68.0,67.0,66.0,0.0
2024-04-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,11.0,11.0,15.0,12.0,19.0,19.0,19.0,18.0,0.0,0.0,19.0,19.0,20.0,19.0,19.0,20.0,21.0,21.0,24.0,23.0,13.0,8.0,4.0,3.0,0.0,0.0,7.0,7.0,5.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0,42.0,41.0,33.0,26.0,23.0,22.0,24.0,24.0,18.0,17.0,16.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,12.0,24.0,24.0,20.0,20.0,20.0,18.0,11.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0
2024-04-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,7.0,8.0,10.0,7.0,8.0,6.0,8.0,7.0,0.0,0.0,10.0,10.0,14.0,14.0,17.0,17.0,15.0,15.0,15.0,13.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,11.0,10.0,14.0,12.0,11.0,11.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,15.0,14.0,13.0,13.0,16.0,15.0,4.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2024-04-24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,12.0,12.0,14.0,15.0,17.0,15.0,17.0,17.0,17.0,16.0,0.0,0.0,22.0,21.0,21.0,21.0,23.0,22.0,20.0,20.0,27.0,26.0,14.0,0.0,27.0,26.0,14.0,14.0,23.0,22.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,5.0,4.0,6.0,6.0,10.0,8.0,10.0,9.0,12.0,12.0,0.0,12.0,11.0,10.0,10.0,10.0,13.0,13.0,16.0,16.0,17.0,15.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0
2024-04-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,5.0,7.0,8.0,11.0,8.0,11.0,12.0,0.0,0.0,0.0,12.0,15.0,15.0,15.0,14.0,17.0,17.0,16.0,15.0,18.0,16.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,5.0,6.0,5.0,8.0,7.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,57.0,55.0,51.0,45.0,46.0,44.0,47.0,47.0,49.0,49.0,48.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,21.0,20.0,11.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
