,id,additionalIds,ril100,nr,name,weight,category,priceCategory,hasParking,hasBicycleParking,hasLocalPublicTransport,hasPublicFacilities,hasLockerSystem,hasTaxiRank,hasTravelNecessities,hasSteplessAccess,hasMobilityService,hasWiFi,hasTravelCenter,hasRailwayMission,hasDBLounge,hasLostAndFound,hasCarRental,federalState,ril100Identifiers,location.type,location.latitude,location.longitude,operator.type,operator.id,operator.name,regionalbereich.number,regionalbereich.name,regionalbereich.shortName,szentrale.number,szentrale.publicPhoneNumber,szentrale.name,stationManagement.number,stationManagement.name,productLine.type,productLine.segment,platforms
2107,8004393,[],KNME,4509,Mendig,75.0,6,6,False,False,True,False,False,False,False,partial,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'KNME', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.291007, 50.369658]}}]",location,50.369658,7.291007,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,181,Koblenz,Zubringerbahnhof,ländlicher Zubringer,2.0
2108,8004395,[],FNMI,4510,Niedermittlau,33.25,5,5,True,False,False,False,False,False,False,partial,Nur nach Voranmeldung unter 030 65 21 28 88 (Ortstarif),False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNMI', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.109264, 50.178609]}}]",location,50.178609,9.109264,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,168,Kassel,Zubringerbahnhof,Regionaler Zubringer,4.0
2109,8004396,[],SNDM,4511,Niedermohr,24.4,6,6,True,False,True,False,False,False,False,yes,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'SNDM', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.471588, 49.458429]}}]",location,49.458429,7.471588,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,5,RB Mitte,RB Mitte,25,0681/308-1055,Saarbrücken Hbf,180,Kaiserslautern,Zubringerbahnhof,ländlicher Zubringer,1.0
2110,8004400,[],FNSD,4513,Niedernhausen (Taunus),116.0,4,4,True,True,True,False,False,False,False,no,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNSD', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.312879, 50.159697]}}]",location,50.159697,8.312879,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,45,069/2651055,Frankfurt (Main) Hbf,157,Darmstadt,Knotenbahnhof,Regionaler Knoten,7.0
2111,8004401,[],MNRU,4517,Niederraunau,13.8,7,7,False,True,False,False,False,False,False,yes,no,False,False,False,False,False,False,Bayern,"[{'rilIdentifier': 'MNRU', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.374503, 48.221344]}}]",location,48.221344,10.374503,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,38,089/13081055,München Hbf,237,Augsburg,Zubringerbahnhof,ländlicher Zubringer,1.0
2112,8004402,[],FROD,5305,Rodenbach bei Hanau,71.85,5,5,True,True,True,False,False,False,False,partial,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FROD', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.01256, 50.147267]}}]",location,50.147267,9.01256,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,168,Kassel,Zubringerbahnhof,Regionaler Zubringer,4.0
2113,8004405,[],FNDS,4520,Niederscheld (Dillkr) Süd,37.05,6,6,False,False,True,False,False,False,False,no,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNDS', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.3033, 50.717731]}}]",location,50.717731,8.3033,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,165,Gießen,Zubringerbahnhof,ländlicher Zubringer,3.0
2114,8004406,[],ENDN,4521,Niederschelden,44.7,5,5,True,False,True,False,False,True,False,partial,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'ENDN', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.965509, 50.839248]}}]",location,50.839248,7.965509,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,181,Koblenz,Zubringerbahnhof,Regionaler Zubringer,4.0
2115,8004407,[],ENDO,4522,Niederschelden Nord Hp,60.7,6,7,False,False,False,False,False,False,False,yes,no,False,False,False,False,False,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'ENDO', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.970657, 50.844187]}}]",location,50.844187,7.970657,operator,zweckverband-nahverkehr-westfalen-lippe,NWL,4,RB West,RB West,16,0211/36801055,Düsseldorf Hbf,49,Hagen,Zubringerbahnhof,Regionaler Zubringer,2.0
2116,8004409,[],FNS,4527,Niederselters,40.8,5,6,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNS', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.230084, 50.332676]}}]",location,50.332676,8.230084,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,165,Gießen,Zubringerbahnhof,Regionaler Zubringer,2.0
