train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 1515,Frankfurt(Main)Hbf,12:50,Karlsruhe Hbf,11:20,6
IC 2320,Frankfurt(Main)Hbf,14:57,Dortmund Hbf,11:26,1
ICE 595,Frankfurt(Main)Hbf,15:13,München Hbf,11:49,3
ICE 623,Frankfurt(Main)Hbf,15:12,München Hbf,11:53,47
ICE 76,Frankfurt(Main)Hbf,16:36,Hamburg Hbf,11:58,FALSE
ICE 73,Frankfurt(Main)Hbf,16:00,Zürich HB,12:06,FALSE
ICE 724,Frankfurt(Main)Hbf,13:51,Düsseldorf Hbf,12:09,4
ICE 690,Frankfurt(Main)Hbf,17:00,Berlin Hbf,12:13,8
EC 219,Frankfurt(Main)Hbf,22:14,Graz Hbf,12:20,1
ICE 1651,Frankfurt(Main)Hbf,17:39,Dresden Hbf,12:36,4
ICE 279,Frankfurt(Main)Hbf,15:47,Basel SBB,12:49,21
ICE 1578,Frankfurt(Main)Hbf,20:14,Velgast,12:51,35
ICE 625,Frankfurt(Main)Hbf,16:06,München Hbf,12:53,10
ICE 722,Frankfurt(Main)Hbf,14:49,Düsseldorf Hbf,13:09,4
ICE 370,Frankfurt(Main)Hbf,18:01,Berlin Ostbahnhof,13:13,10
ICE 1577,Frankfurt(Main)Hbf,15:03,Stuttgart Hbf,13:20,FALSE
IC 2228,Frankfurt(Main)Hbf,17:28,Münster(Westf)Hbf,13:26,FALSE
ICE 597,Frankfurt(Main)Hbf,17:16,München Hbf,13:49,4
ICE 627,Frankfurt(Main)Hbf,17:06,München Hbf,13:53,4
ICE 74,Frankfurt(Main)Hbf,19:43,Kiel Hbf,13:58,FALSE
ICE 75,Frankfurt(Main)Hbf,18:00,Zürich HB,14:06,FALSE
ICE 720,Frankfurt(Main)Hbf,15:43,Düsseldorf Hbf,14:09,15
ICE 1218,Frankfurt(Main)Hbf,18:55,Berlin Hbf,14:13,17
EC 117,Frankfurt(Main)Hbf,17:57,Bohumin,14:20,
ICE 1653,Frankfurt(Main)Hbf,19:39,Dresden Hbf,14:36,14
ICE 1576,Frankfurt(Main)Hbf,21:32,Rostock Hbf,14:48,2
ICE 371,Frankfurt(Main)Hbf,19:58,Interlaken Ost,14:49,18
ICE 629,Frankfurt(Main)Hbf,18:07,München Hbf,14:53,7
ICE 628,Frankfurt(Main)Hbf,16:49,Düsseldorf Hbf,15:09,10
ICE 278,Frankfurt(Main)Hbf,20:32,Berlin Hbf,15:13,2
ICE 1579,Frankfurt(Main)Hbf,16:50,Karlsruhe Hbf,15:20,11
IC 2226,Frankfurt(Main)Hbf,19:39,Münster(Westf)Hbf,15:26,FALSE
ICE 599,Frankfurt(Main)Hbf,19:12,München Hbf,15:49,6
ICE 721,Frankfurt(Main)Hbf,19:07,München Hbf,15:53,2
ICE 2872,Frankfurt(Main)Hbf,20:58,Hamburg Hbf,15:58,FALSE
ICE 72,Frankfurt(Main)Hbf,20:58,Hamburg Hbf,15:58,FALSE
ICE 77,Frankfurt(Main)Hbf,20:00,Zürich HB,16:06,19
ICE 626,Frankfurt(Main)Hbf,18:41,Dortmund Hbf,16:09,3
ICE 596,Frankfurt(Main)Hbf,20:55,Berlin Hbf,16:13,11
IC 1291,Frankfurt(Main)Hbf,22:01,Salzburg Hbf,16:21,2
ICE 1655,Frankfurt(Main)Hbf,21:39,Dresden Hbf,16:36,4
ICE 1514,Frankfurt(Main)Hbf,21:49,Hamburg-Altona,16:48,9
ICE 373,Frankfurt(Main)Hbf,21:59,Interlaken Ost,16:49,12
ICE 723,Frankfurt(Main)Hbf,20:06,München Hbf,16:53,1
ICE 624,Frankfurt(Main)Hbf,19:42,Dortmund Hbf,17:09,12
ICE 276,Frankfurt(Main)Hbf,22:52,Berlin Hbf,17:13,5
ICE 1671,Frankfurt(Main)Hbf,18:39,Karlsruhe Hbf,17:20,129
IC 2224,Frankfurt(Main)Hbf,20:57,Dortmund Hbf,17:26,FALSE
ICE 1211,Frankfurt(Main)Hbf,23:18,Innsbruck Hbf,17:49,2
ICE 725,Frankfurt(Main)Hbf,21:07,München Hbf,17:53,1
ICE 79,Frankfurt(Main)Hbf,22:00,Zürich HB,18:06,FALSE
ICE 622,Frankfurt(Main)Hbf,20:56,Dortmund Hbf,18:09,2
ICE 594,Frankfurt(Main)Hbf,22:54,Berlin Hbf,18:13,9
ICE 1099,Frankfurt(Main)Hbf,22:14,München Hbf,18:19,1
ICE 1657,Frankfurt(Main)Hbf,23:39,Dresden Hbf,18:36,
ICE 1572,Frankfurt(Main)Hbf,21:56,Hannover Hbf,18:48,FALSE
ICE 375,Frankfurt(Main)Hbf,21:49,Basel SBB,18:49,1
ICE 727,Frankfurt(Main)Hbf,22:10,München Hbf,18:53,1
ICE 620,Frankfurt(Main)Hbf,21:46,Dortmund Hbf,19:09,15
ICE 274,Frankfurt(Main)Hbf,22:36,Erfurt Hbf,19:13,3
IC 2375,Frankfurt(Main)Hbf,20:57,Stuttgart Hbf,19:20,28
IC 2393,Frankfurt(Main)Hbf,20:57,Stuttgart Hbf,19:20,28
IC 2222,Frankfurt(Main)Hbf,21:01,Siegen,19:26,
ICE 693,Frankfurt(Main)Hbf,23:13,München Hbf,19:49,3
ICE 729,Frankfurt(Main)Hbf,23:17,München Hbf,19:53,5
ICE 376,Frankfurt(Main)Hbf,01:03,Hamburg-Altona,19:58,FALSE
ICE 1171,Frankfurt(Main)Hbf,23:04,Basel SBB,20:06,FALSE
ICE 1128,Frankfurt(Main)Hbf,21:05,Wiesbaden Hbf,20:09,3
ICE 528,Frankfurt(Main)Hbf,22:41,Dortmund Hbf,20:09,3
ICE 592,Frankfurt(Main)Hbf,23:33,Erfurt Hbf,20:13,19
IC 2299,Frankfurt(Main)Hbf,21:56,Stuttgart Hbf,20:20,
ICE 1659,Frankfurt(Main)Hbf,23:38,Erfurt Hbf,20:36,
ICE 377,Frankfurt(Main)Hbf,23:59,Basel SBB,20:49,1
ICE 1570,Frankfurt(Main)Hbf,22:56,Kassel-Wilhelmshöhe,20:51,1
ICE 821,Frankfurt(Main)Hbf,00:41,München Hbf,20:53,44
ICE 935,Frankfurt(Main)Hbf,23:29,Saarbrücken Hbf,21:02,
ICE 773,Frankfurt(Main)Hbf,22:55,Stuttgart Hbf,21:06,49
ICE 526,Frankfurt(Main)Hbf,23:34,Dortmund Hbf,21:09,14
ICE 695,Frankfurt(Main)Hbf,23:08,Stuttgart Hbf,21:49,35
ICE 273,Frankfurt(Main)Hbf,23:09,Karlsruhe Hbf,22:06,FALSE
ICE 524,Frankfurt(Main)Hbf,00:53,Dortmund Hbf,22:09,18
ICE 937,Frankfurt(Main)Hbf,01:04,Stuttgart Hbf,23:08,
ICE 522,Frankfurt(Main)Hbf,00:29,Köln Hbf,23:09,36
ICE 920,Frankfurt(Main)Hbf,07:06,Hamburg-Altona,23:24,1
