train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
IC 2084,Oberstdorf,19:21,Hamburg-Altona,09:42,4
IC 2084,Oberstdorf Busbahnhof,19:21,Hamburg-Altona,09:42,3
IC 2012,Oberstdorf,18:04,Dortmund Hbf,09:50,3
